geoid,uninsured_rate,uninsured_count,total_population
01001,0.08199999999999999,4053.0,49485.0
01003,0.102,19478.0,190730.0
01005,0.121,2025.0,16712.0
01007,0.10800000000000001,1758.0,16224.0
01009,0.125,6024.0,48132.0
01011,0.114,753.0,6600.0
01013,0.10400000000000001,1479.0,14248.0
01015,0.11800000000000001,10537.0,89045.0
01017,0.127,3324.0,26095.0
01019,0.133,2522.0,19028.0
01021,0.132,4945.0,37514.0
01023,0.11199999999999999,1029.0,9218.0
01025,0.115,1985.0,17289.0
01027,0.106,1167.0,11055.0
01029,0.124,1525.0,12311.0
01031,0.115,5173.0,44912.0
01033,0.107,4901.0,45852.0
01035,0.106,864.0,8169.0
01037,0.095,698.0,7352.0
01039,0.11,3184.0,28855.0
01041,0.131,1357.0,10327.0
01043,0.11599999999999999,8511.0,73069.0
01045,0.105,4184.0,39881.0
01047,0.09699999999999999,2732.0,28059.0
01049,0.152,8907.0,58604.0
01051,0.09,6209.0,69032.0
01053,0.124,3407.0,27439.0
01055,0.113,9166.0,81457.0
01057,0.11599999999999999,1436.0,12427.0
01059,0.13699999999999998,3574.0,26088.0
01061,0.121,2544.0,21010.0
01063,0.09300000000000001,494.0,5327.0
01065,0.114,1282.0,11249.0
01067,0.113,1509.0,13379.0
01069,0.11699999999999999,10158.0,86703.0
01071,0.13,5438.0,41851.0
01073,0.096,50628.0,527338.0
01075,0.111,1170.0,10574.0
01077,0.106,7720.0,72531.0
01079,0.122,3249.0,26683.0
01081,0.1,15090.0,150207.0
01083,0.092,8366.0,90622.0
01085,0.091,670.0,7362.0
01087,0.096,1170.0,12168.0
01089,0.081,26523.0,328874.0
01091,0.102,1483.0,14477.0
01093,0.11199999999999999,2532.0,22579.0
01095,0.124,10116.0,81466.0
01097,0.11800000000000001,38596.0,328163.0
01099,0.115,1699.0,14809.0
01101,0.113,19833.0,176245.0
01103,0.12300000000000001,12210.0,99629.0
01105,0.10099999999999999,581.0,5736.0
01107,0.105,1364.0,13035.0
01109,0.106,2696.0,25472.0
01111,0.127,2180.0,17128.0
01113,0.11699999999999999,5676.0,48323.0
01115,0.096,7232.0,75499.0
01117,0.076,14173.0,187431.0
01119,0.094,782.0,8362.0
01121,0.105,6547.0,62424.0
01123,0.12300000000000001,3765.0,30668.0
01125,0.08800000000000001,15989.0,181594.0
01127,0.12300000000000001,6304.0,51097.0
01129,0.099,1145.0,11590.0
01131,0.121,916.0,7548.0
01133,0.11699999999999999,2154.0,18432.0
02013,0.196,594.0,3033.0
02016,0.16699999999999998,749.0,4485.0
02020,0.121,29746.0,245596.0
02050,0.142,1803.0,12730.0
02060,0.16899999999999998,124.0,733.0
02063,0.175,972.0,5544.0
02066,0.14300000000000002,294.0,2059.0
02068,0.126,175.0,1388.0
02070,0.17,588.0,3466.0
02090,0.111,8990.0,81045.0
02100,0.11199999999999999,173.0,1546.0
02105,0.16899999999999998,270.0,1595.0
02110,0.122,3228.0,26356.0
02122,0.145,6889.0,47432.0
02130,0.155,1729.0,11134.0
02150,0.17800000000000002,1883.0,10557.0
02158,0.139,802.0,5771.0
02164,0.192,203.0,1056.0
02170,0.147,14180.0,96663.0
02180,0.145,1047.0,7202.0
02185,0.147,1293.0,8800.0
02188,0.166,896.0,5397.0
02195,0.184,467.0,2533.0
02198,0.191,787.0,4113.0
02220,0.15,1019.0,6814.0
02230,0.159,139.0,876.0
02240,0.161,941.0,5847.0
02275,0.21100000000000002,311.0,1477.0
02282,0.193,106.0,549.0
02290,0.191,687.0,3591.0
04001,0.13,5596.0,42948.0
04003,0.11199999999999999,10226.0,91417.0
04005,0.138,14732.0,106651.0
04007,0.152,5294.0,34862.0
04009,0.113,3416.0,30197.0
04011,0.09300000000000001,733.0,7877.0
04012,0.16899999999999998,1546.0,9127.0
