locationid,measureid,data_value
05049,CASTHMA,10.6
08065,CASTHMA,10.2
12009,DIABETES,13.1
12017,DIABETES,15.8
20081,DIABETES,13.2
23009,CASTHMA,12.1
24013,CASTHMA,10.1
27013,DIABETES,9.4
31171,CASTHMA,9.0
36069,DIABETES,10.5
40055,DIABETES,13.0
40109,CASTHMA,11.5
47173,DIABETES,14.6
48179,BPHIGH,37.6
51009,DIABETES,15.1
51015,DIABETES,13.2
04017,HIGHCHOL,29.7
01021,CASTHMA,10.0
05149,CHECKUP,75.1
06019,BPHIGH,31.4
02050,BPHIGH,37.5
05025,BPHIGH,39.4
05101,CASTHMA,10.3
06019,HIGHCHOL,32.7
01095,DIABETES,12.4
01103,DENTAL,55.7
04027,ACCESS2,24.1
02220,CASTHMA,10.1
01113,ACCESS2,11.9
02290,BPHIGH,41.4
01109,HIGHCHOL,35.2
05061,DIABETES,15.2
02013,DENTAL,48.1
05109,CASTHMA,10.3
05041,BPHIGH,46.7
06015,DENTAL,53.4
05115,CHECKUP,76.5
02090,BPHIGH,31.7
01035,DENTAL,48.7
06063,CHECKUP,70.2
05029,BPHIGH,46.8
02150,DENTAL,55.7
05089,HIGHCHOL,33.0
01075,CASTHMA,10.5
05133,HIGHCHOL,34.7
02063,CHECKUP,65.7
06025,CASTHMA,9.2
05021,HIGHCHOL,41.1
01057,CHECKUP,80.6
01051,DENTAL,59.5
06051,DIABETES,10.5
01121,DENTAL,52.3
01127,CHECKUP,79.9
05093,ACCESS2,12.9
05029,CHECKUP,76.6
01039,DIABETES,12.8
05139,HIGHCHOL,40.4
05059,CASTHMA,10.3
05145,ACCESS2,11.4
04007,CHECKUP,71.1
02180,CHECKUP,64.0
01043,BPHIGH,37.3
05083,HIGHCHOL,41.3
05087,HIGHCHOL,40.5
05039,CHECKUP,78.1
06039,CHECKUP,69.8
06011,ACCESS2,17.6
05079,DENTAL,44.5
05147,DIABETES,18.3
01077,HIGHCHOL,35.0
01059,CASTHMA,10.0
04027,CHECKUP,73.7
06011,DIABETES,13.4
01019,HIGHCHOL,45.9
05077,DENTAL,40.6
05057,DIABETES,13.6
01021,DENTAL,59.2
01007,CASTHMA,10.4
05093,DIABETES,13.4
01021,CASTHMA,10.0
06013,CHECKUP,70.2
01045,ACCESS2,11.5
05123,CASTHMA,11.0
05045,CASTHMA,10.2
02122,DIABETES,9.8
01061,ACCESS2,11.8
02090,CASTHMA,10.0
05027,ACCESS2,11.6
05043,DIABETES,13.5
59,ACCESS2,11.0
01097,BPHIGH,39.6
02185,DIABETES,10.8
04019,BPHIGH,34.1
05145,DIABETES,10.9
04025,BPHIGH,27.0
01087,HIGHCHOL,39.4
05049,CHECKUP,80.9
02130,BPHIGH,34.8
04023,DENTAL,53.0
05063,BPHIGH,37.2
02122,HIGHCHOL,31.4
05095,CASTHMA,11.3
01123,DIABETES,16.8
06027,CASTHMA,10.2
01037,DENTAL,51.3
05031,DIABETES,11.6
02240,DENTAL,52.7
01029,ACCESS2,10.1
06069,DENTAL,63.2
06013,BPHIGH,31.2
01041,BPHIGH,46.6
01011,ACCESS2,18.2
01103,BPHIGH,44.5
01007,DIABETES,16.2
06013,CASTHMA,9.4
01091,ACCESS2,11.5
05121,DENTAL,49.1
06057,HIGHCHOL,38.5
02275,ACCESS2,11.0
06009,ACCESS2,7.9
01023,CHECKUP,79.6
01091,ACCESS2,12.1
05057,DENTAL,50.7
02185,ACCESS2,11.2
04013,CHECKUP,72.0
06047,ACCESS2,18.3
04001,HIGHCHOL,33.8
01061,DIABETES,16.4
01073,CHECKUP,81.2
02130,CHECKUP,69.5
01075,DIABETES,16.7
02090,CHECKUP,66.8
01033,HIGHCHOL,42.7
05149,CHECKUP,77.7
05101,DIABETES,10.9
05035,HIGHCHOL,39.2
06027,BPHIGH,35.1
05113,ACCESS2,11.7
05099,HIGHCHOL,34.6
05117,DIABETES,15.1
05045,DIABETES,10.8
05009,CASTHMA,10.4
05147,ACCESS2,12.6
01025,DENTAL,50.7
05143,DENTAL,56.4
02220,CHECKUP,66.5
05103,ACCESS2,11.3
02050,CHECKUP,63.6
05047,HIGHCHOL,34.5
01131,CASTHMA,11.9
01125,DENTAL,55.4
01071,DENTAL,52.8
05041,DIABETES,17.1
01087,DENTAL,47.6
05079,CASTHMA,9.8
05011,CHECKUP,80.7
02188,CASTHMA,13.3
05039,BPHIGH,41.3
06039,BPHIGH,33.2
02164,CASTHMA,12.5
01083,CHECKUP,78.0
01061,HIGHCHOL,36.2
01075,ACCESS2,10.9
05047,DIABETES,14.6
01077,DIABETES,11.0
05003,ACCESS2,12.9
01131,CHECKUP,81.1
01119,BPHIGH,49.1
05113,DENTAL,52.8
06007,CASTHMA,10.5
01025,DIABETES,14.9
02282,HIGHCHOL,38.0
02060,DIABETES,9.1
01123,ACCESS2,10.0
05121,HIGHCHOL,40.2
06049,CASTHMA,10.8
04013,HIGHCHOL,33.0
05011,DENTAL,46.1
05025,CHECKUP,76.6
01005,BPHIGH,45.4
06071,BPHIGH,31.6
05135,HIGHCHOL,43.4
06051,BPHIGH,31.5
05131,ACCESS2,13.3
05097,CHECKUP,81.3
01107,BPHIGH,48.3
06033,DIABETES,10.7
05047,BPHIGH,44.6
01043,DIABETES,11.0
01037,CASTHMA,10.5
01041,CASTHMA,10.5
01123,CASTHMA,10.5
01005,DENTAL,45.3
06023,BPHIGH,32.9
04027,DENTAL,51.5
05061,ACCESS2,12.5
02068,CHECKUP,65.9
05003,DIABETES,18.3
06061,DIABETES,7.9
05127,CASTHMA,10.4
04012,HIGHCHOL,43.4
06003,DIABETES,8.5
05105,CASTHMA,10.2
01111,BPHIGH,39.7
05075,CASTHMA,10.8
02122,ACCESS2,9.9
02158,CASTHMA,14.7
01113,DIABETES,17.3
05117,BPHIGH,38.6
01025,ACCESS2,11.6
06059,HIGHCHOL,32.6
01035,HIGHCHOL,45.0
02290,DIABETES,13.9
04012,ACCESS2,16.6
05103,DIABETES,17.7
02066,HIGHCHOL,29.2
01043,DENTAL,55.0
01127,ACCESS2,10.7
01079,CHECKUP,77.2
05023,CASTHMA,10.4
05079,DIABETES,13.5
04021,CASTHMA,10.9
06037,ACCESS2,11.8
05005,DIABETES,10.3
05061,DENTAL,54.8
01133,ACCESS2,12.6
05005,CASTHMA,10.2
05013,BPHIGH,45.5
01077,ACCESS2,9.0
02110,ACCESS2,8.7
05035,DIABETES,14.8
06033,CHECKUP,74.3
05051,DIABETES,14.8
01027,CHECKUP,77.4
05003,BPHIGH,42.1
05095,HIGHCHOL,34.0
01063,HIGHCHOL,36.2
01065,HIGHCHOL,42.1
06035,CASTHMA,10.3
06037,DIABETES,11.6
02282,CHECKUP,65.0
01115,BPHIGH,37.2
02100,BPHIGH,38.5
01083,BPHIGH,37.3
01101,CHECKUP,82.0
05027,CASTHMA,11.1
05111,CHECKUP,76.1
05001,CASTHMA,10.6
05047,ACCESS2,12.1
06039,CASTHMA,10.4
05077,HIGHCHOL,39.7
04025,DIABETES,8.0
06063,BPHIGH,29.4
04001,DIABETES,15.3
06015,DIABETES,12.5
02070,HIGHCHOL,29.4
06015,ACCESS2,9.7
05131,DIABETES,11.5
05055,BPHIGH,39.3
05143,BPHIGH,34.6
05145,DENTAL,51.5
04012,DIABETES,11.5
01085,BPHIGH,56.5
05077,CHECKUP,78.1
06005,CHECKUP,68.3
06023,DENTAL,59.6
06051,DENTAL,65.4
02158,BPHIGH,41.5
06045,CHECKUP,69.5
02110,CHECKUP,68.6
04003,DENTAL,55.5
01045,DIABETES,15.8
01089,CHECKUP,80.3
01029,DIABETES,11.7
01031,HIGHCHOL,35.1
01091,CASTHMA,11.1
02050,DIABETES,14.7
05117,CASTHMA,10.4
02100,ACCESS2,8.3
01043,ACCESS2,10.5
01077,ACCESS2,9.5
01021,DIABETES,12.0
06055,HIGHCHOL,36.4
05043,BPHIGH,44.7
01105,BPHIGH,51.9
02185,DENTAL,51.6
02230,CASTHMA,10.0
01081,DIABETES,12.7
02105,CHECKUP,72.5
02050,DENTAL,37.0
04025,ACCESS2,11.8
06053,BPHIGH,32.0
04005,CASTHMA,11.7
05005,HIGHCHOL,41.0
06005,BPHIGH,29.3
05043,CHECKUP,78.4
05063,DENTAL,48.9
05101,CHECKUP,80.6
02150,ACCESS2,10.5
05147,HIGHCHOL,33.8
04021,DIABETES,12.9
05095,CHECKUP,82.2
02068,HIGHCHOL,33.2
01019,DENTAL,56.7
06069,BPHIGH,29.9
05055,DENTAL,50.9
06043,DIABETES,13.5
06001,DIABETES,11.0
01099,HIGHCHOL,35.4
05085,HIGHCHOL,35.0
06041,DENTAL,76.0
06063,HIGHCHOL,41.4
05111,DENTAL,44.4
05033,CHECKUP,78.3
05111,CASTHMA,10.8
06061,BPHIGH,32.7
05133,CASTHMA,10.2
01089,DENTAL,62.4
01057,DENTAL,50.9
05115,DENTAL,54.1
01073,CASTHMA,9.9
01049,HIGHCHOL,42.6
06043,CASTHMA,10.6
06063,DENTAL,65.6
02170,DENTAL,55.8
05091,HIGHCHOL,38.2
01093,BPHIGH,45.9
01059,DIABETES,16.4
01133,DIABETES,12.7
05007,CASTHMA,9.2
04007,BPHIGH,39.3
05095,DIABETES,14.3
01027,BPHIGH,40.6
02100,DENTAL,62.7
02013,HIGHCHOL,34.7
05103,BPHIGH,42.7
01111,CHECKUP,81.2
05047,DENTAL,48.0
06043,ACCESS2,7.3
01035,ACCESS2,13.6
06071,CHECKUP,69.6
06019,CHECKUP,70.8
04023,CHECKUP,73.0
05065,CASTHMA,10.5
02170,BPHIGH,30.4
01009,CHECKUP,77.0
05099,DIABETES,18.3
02188,CHECKUP,66.1
01023,CASTHMA,11.1
01093,CHECKUP,76.5
01025,BPHIGH,49.5
05109,DIABETES,14.4
02066,ACCESS2,10.0
01039,CASTHMA,10.4
01081,DENTAL,57.0
05091,BPHIGH,44.8
05113,DIABETES,15.5
02198,HIGHCHOL,36.6
01047,ACCESS2,13.0
01125,CHECKUP,80.8
05099,ACCESS2,12.4
04011,CHECKUP,71.2
01071,BPHIGH,45.9
05081,CHECKUP,77.2
01039,ACCESS2,10.9
06051,CASTHMA,9.9
06031,DENTAL,51.7
05017,DENTAL,42.3
01081,ACCESS2,9.1
05107,BPHIGH,49.0
04001,CHECKUP,72.0
06065,BPHIGH,31.2
04015,BPHIGH,31.0
01007,ACCESS2,12.6
01053,CASTHMA,11.0
01113,HIGHCHOL,36.4
01033,BPHIGH,44.3
05003,DENTAL,49.8
05109,ACCESS2,12.0
05111,BPHIGH,38.2
01059,ACCESS2,15.7
02290,ACCESS2,13.8
06067,CHECKUP,69.2
06067,HIGHCHOL,30.5
05045,BPHIGH,36.0
01047,HIGHCHOL,36.7
05129,DENTAL,47.9
01029,DENTAL,52.6
02275,DENTAL,57.5
01045,HIGHCHOL,36.7
02016,CASTHMA,7.8
06053,CASTHMA,9.6
05121,ACCESS2,12.2
01005,CHECKUP,79.3
06041,ACCESS2,6.2
02016,DIABETES,11.4
05141,DENTAL,46.7
01039,DENTAL,55.8
02066,DIABETES,8.9
05011,BPHIGH,42.9
05147,DENTAL,46.0
05001,CHECKUP,80.8
05033,BPHIGH,41.9
01031,BPHIGH,39.5
05107,DIABETES,17.2
06033,CASTHMA,10.8
05073,DENTAL,42.3
05031,HIGHCHOL,36.4
02158,HIGHCHOL,31.9
01041,DENTAL,52.2
02170,CASTHMA,10.7
05129,DIABETES,17.6
05143,CHECKUP,75.8
05107,ACCESS2,13.5
01107,DENTAL,50.8
05051,DENTAL,57.7
05007,BPHIGH,31.7
01121,CHECKUP,81.7
01043,DIABETES,13.4
05109,ACCESS2,11.4
04027,BPHIGH,31.6
05117,CHECKUP,80.7
02282,CHECKUP,69.2
01043,ACCESS2,10.1
06059,BPHIGH,29.1
05095,DIABETES,19.1
06005,DENTAL,64.9
06007,BPHIGH,32.2
05037,BPHIGH,46.5
05081,HIGHCHOL,40.8
01075,BPHIGH,47.7
05005,CHECKUP,82.0
06031,HIGHCHOL,31.0
06071,CHECKUP,69.4
01055,DENTAL,54.1
04023,BPHIGH,35.7
05017,CASTHMA,11.1
04019,BPHIGH,30.1
05075,HIGHCHOL,40.4
05129,CASTHMA,10.9
05051,HIGHCHOL,31.3
02158,DENTAL,32.2
06045,CHECKUP,74.3
05073,HIGHCHOL,43.4
01089,CHECKUP,79.3
01089,CASTHMA,9.4
01077,DENTAL,61.1
06009,CASTHMA,10.3
06037,ACCESS2,11.7
05085,BPHIGH,36.5
06029,CHECKUP,70.7
05009,ACCESS2,9.5
05013,DIABETES,14.6
01093,CHECKUP,79.7
05085,CHECKUP,77.3
05055,ACCESS2,11.2
05099,DIABETES,14.2
06065,CASTHMA,9.5
01031,DIABETES,12.7
05119,CHECKUP,80.7
01107,DENTAL,50.4
05125,DENTAL,62.4
01081,ACCESS2,8.8
06017,ACCESS2,5.7
02070,DIABETES,12.5
05033,CHECKUP,76.1
06053,DENTAL,57.5
05113,DIABETES,11.8
06031,ACCESS2,17.6
05039,HIGHCHOL,41.4
05089,DENTAL,53.5
05089,HIGHCHOL,43.8
01071,CHECKUP,76.8
02068,BPHIGH,32.0
05079,ACCESS2,14.7
02105,CASTHMA,11.3
02050,DIABETES,13.8
06011,ACCESS2,18.0
05065,DENTAL,53.4
01051,HIGHCHOL,40.6
01117,HIGHCHOL,40.4
01109,DENTAL,55.7
01027,CASTHMA,10.4
05061,DIABETES,12.5
06001,HIGHCHOL,30.3
04025,ACCESS2,10.6
01091,DIABETES,16.1
04021,DIABETES,10.9
05125,BPHIGH,35.5
04021,DENTAL,56.7
05051,ACCESS2,10.3
05069,ACCESS2,12.1
04011,CHECKUP,70.6
05061,CASTHMA,10.7
06041,DIABETES,10.2
05015,DENTAL,54.5
01019,CHECKUP,76.3
06043,ACCESS2,7.9
05137,BPHIGH,37.7
02100,ACCESS2,7.7
06071,CASTHMA,9.9
05067,CHECKUP,77.9
02100,CASTHMA,10.3
05055,DIABETES,12.5
06015,ACCESS2,10.1
06015,DIABETES,10.2
01095,ACCESS2,12.5
02063,DENTAL,61.2
01107,DIABETES,15.2
05015,CASTHMA,9.8
05041,HIGHCHOL,34.6
05111,CHECKUP,78.4
01025,HIGHCHOL,35.0
01003,DENTAL,62.4
02016,ACCESS2,13.1
05069,CASTHMA,11.3
05099,ACCESS2,13.3
06017,HIGHCHOL,28.8
01029,HIGHCHOL,36.2
01127,BPHIGH,38.6
01067,HIGHCHOL,35.7
05127,DENTAL,50.1
59,HIGHCHOL,37.4
05055,HIGHCHOL,33.9
01111,CASTHMA,10.3
05081,DENTAL,52.5
01001,CASTHMA,10.0
01013,HIGHCHOL,43.4
02100,DIABETES,10.8
05109,DENTAL,53.8
