NAME,B19013_001E,B27001_001E,B01003_001E,state,county
"Autauga County, Alabama",72481,58355,59947,01,001
"Baldwin County, Alabama",78775,243859,246989,01,003
"Barbour County, Alabama",46042,21581,24643,01,005
"Bibb County, Alabama",52541,20552,22130,01,007
"Blount County, Alabama",64190,59093,59518,01,009
"Bullock County, Alabama",31310,8769,10058,01,011
"Butler County, Alabama",44755,18380,18630,01,013
"Calhoun County, Alabama",55029,114485,116090,01,015
"Chambers County, Alabama",49656,33666,34192,01,017
"Cherokee County, Alabama",53863,25193,25443,01,019
"Chilton County, Alabama",65603,45696,45992,01,021
"Choctaw County, Alabama",47813,12267,12380,01,023
"Clarke County, Alabama",49249,22234,22543,01,025
"Clay County, Alabama",55250,13951,14192,01,027
"Cleburne County, Alabama",55345,15204,15426,01,029
"Coffee County, Alabama",68353,52676,54920,01,031
"Colbert County, Alabama",60628,57670,58022,01,033
"Conecuh County, Alabama",41327,11184,11275,01,035
"Coosa County, Alabama",57355,9971,10300,01,037
"Covington County, Alabama",52456,37128,37628,01,039
"Crenshaw County, Alabama",48560,12934,13122,01,041
"Cullman County, Alabama",62656,89754,90566,01,043
"Dale County, Alabama",54963,47185,49599,01,045
"Dallas County, Alabama",35627,36567,36858,01,047
"DeKalb County, Alabama",51204,71520,72269,01,049
"Elmore County, Alabama",78243,84814,89526,01,051
"Escambia County, Alabama",48225,34155,36629,01,053
"Etowah County, Alabama",54563,101952,103105,01,055
"Fayette County, Alabama",49488,15867,16053,01,057
"Franklin County, Alabama",53338,31655,31966,01,059
"Geneva County, Alabama",52771,26560,26887,01,061
"Greene County, Alabama",29200,7347,7424,01,063
"Hale County, Alabama",39250,14629,14829,01,065
"Henry County, Alabama",59931,17452,17647,01,067
"Houston County, Alabama",58626,107023,108140,01,069
"Jackson County, Alabama",51908,52544,53053,01,071
"Jefferson County, Alabama",66388,660402,667755,01,073
"Lamar County, Alabama",50000,13593,13693,01,075
"Lauderdale County, Alabama",62649,94802,95830,01,077
"Lawrence County, Alabama",66071,33044,33276,01,079
"Lee County, Alabama",65824,179575,181134,01,081
"Limestone County, Alabama",83629,108206,111233,01,083
"Lowndes County, Alabama",37052,9661,9833,01,085
"Macon County, Alabama",43707,18551,18691,01,087
"Madison County, Alabama",86499,401432,405718,01,089
"Marengo County, Alabama",43825,18650,18851,01,091
"Marion County, Alabama",50088,28568,29184,01,093
"Marshall County, Alabama",62571,98736,99748,01,095
"Mobile County, Alabama",58880,408063,412590,01,097
"Monroe County, Alabama",42292,19106,19388,01,099
"Montgomery County, Alabama",59386,220084,226718,01,101
"Morgan County, Alabama",68845,122480,124471,01,103
"Perry County, Alabama",37654,7873,8031,01,105
"Pickens County, Alabama",46274,17089,18721,01,107
"Pike County, Alabama",48677,32752,32987,01,109
"Randolph County, Alabama",52338,22279,22510,01,111
"Russell County, Alabama",51197,56918,58811,01,113
"St. Clair County, Alabama",77463,92023,94166,01,115
"Shelby County, Alabama",97961,227943,230211,01,117
"Sumter County, Alabama",33310,11737,11878,01,119
"Talladega County, Alabama",57776,78235,81021,01,121
"Tallapoosa County, Alabama",59356,40168,40938,01,123
"Tuscaloosa County, Alabama",66231,235544,237552,01,125
"Walker County, Alabama",56509,63953,64841,01,127
"Washington County, Alabama",61042,15018,15143,01,129
