geoid,md_primary_care_count,do_primary_care_count,total_population,pcp_count,pcp_per_100k
01001,24.0,1.0,59759.0,25.0,41.83470272260245
01003,144.0,16.0,246435.0,160.0,64.92584251425325
01005,7.0,1.0,24706.0,8.0,32.3807981866753
01007,18.0,3.0,22005.0,21.0,95.43285616905249
01009,12.0,0.0,59512.0,12.0,20.16400053770668
01011,2.0,0.0,10202.0,2.0,19.60399921584003
01013,5.0,0.0,18650.0,5.0,26.809651474530835
01015,57.0,4.0,115788.0,61.0,52.682488686219635
01017,12.0,0.0,34088.0,12.0,35.20300398967378
01019,8.0,2.0,25302.0,10.0,39.522567385977396
01021,11.0,0.0,45884.0,11.0,23.97349838723738
01023,5.0,0.0,12439.0,5.0,40.19615724736715
01025,9.0,1.0,22515.0,10.0,44.41483455474128
01027,5.0,0.0,14198.0,5.0,35.216227637695454
01029,3.0,1.0,15346.0,4.0,26.065424214779096
01031,22.0,5.0,54805.0,27.0,49.265577958215495
01033,28.0,7.0,58033.0,35.0,60.31051298399187
01035,5.0,0.0,11206.0,5.0,44.61895413171515
01037,0.0,0.0,10166.0,0.0,0.0
01039,16.0,2.0,37602.0,18.0,47.86979415988511
01041,2.0,0.0,13025.0,2.0,15.355086372360844
01043,36.0,6.0,90665.0,42.0,46.32438096288535
01045,14.0,1.0,49544.0,15.0,30.276118197965445
01047,35.0,1.0,36767.0,36.0,97.91389017325318
01049,27.0,3.0,71998.0,30.0,41.667824106225176
01051,16.0,3.0,89563.0,19.0,21.214117436888003
01053,6.0,3.0,36666.0,9.0,24.545900834560626
01055,71.0,7.0,103088.0,78.0,75.66351078690052
01057,13.0,2.0,16118.0,15.0,93.06365554038963
01059,11.0,1.0,31932.0,12.0,37.579857196542655
01061,8.0,0.0,26783.0,8.0,29.869693462270842
01063,3.0,0.0,7422.0,3.0,40.42037186742118
01065,4.0,0.0,14595.0,4.0,27.406646111682083
01067,5.0,3.0,17655.0,8.0,45.31294250920419
01069,85.0,7.0,108079.0,92.0,85.12291934603392
01071,26.0,1.0,52891.0,27.0,51.04838252254636
01073,707.0,37.0,665409.0,744.0,111.81093132193882
01075,0.0,0.0,13705.0,0.0,0.0
01077,53.0,4.0,95878.0,57.0,59.450551742839856
01079,7.0,0.0,33214.0,7.0,21.07545011139881
01081,72.0,19.0,180773.0,91.0,50.339375902374805
01083,35.0,5.0,110900.0,40.0,36.06853020739405
01085,1.0,0.0,9777.0,1.0,10.228086325048585
01087,5.0,0.0,18516.0,5.0,27.003672499459928
01089,341.0,13.0,403565.0,354.0,87.71821144053622
01091,8.0,0.0,18745.0,8.0,42.678047479327816
01093,5.0,4.0,29156.0,9.0,30.86843188366031
01095,52.0,3.0,99423.0,55.0,55.31919173631856
01097,283.0,19.0,411411.0,302.0,73.40591282197121
01099,9.0,0.0,19404.0,9.0,46.3821892393321
01101,207.0,24.0,226361.0,231.0,102.04938129801512
