geoid,uninsured_pct,high_bp_pct,asthma_pct,no_check_up_pct,no_dental_visit_pct,diabetes_pct,high_cholesterol_pct
01001,8.95,40.1,10.0,80.2,61.9,12.350000000000001,38.8
01003,8.55,40.4,9.350000000000001,79.1,63.05,11.9,39.099999999999994
01005,14.55,47.8,10.850000000000001,80.35,45.8,18.05,39.75
01007,12.8,44.349999999999994,10.4,78.25,50.7,15.05,39.55
01009,11.75,38.6,9.9,78.25,54.45,12.55,38.95
01011,17.95,54.5,11.5,81.19999999999999,39.25,22.950000000000003,40.150000000000006
01013,11.55,47.9,11.0,81.44999999999999,49.55,17.049999999999997,39.7
01015,10.8,43.15,10.6,78.44999999999999,56.25,13.850000000000001,37.9
01017,11.8,45.75,10.8,80.2,48.65,16.2,38.3
01019,10.4,41.7,10.25,78.35,57.6,13.9,41.349999999999994
01021,11.85,41.05,10.0,78.05,59.1,13.05,40.5
01023,11.4,48.45,11.0,81.44999999999999,49.400000000000006,17.55,40.849999999999994
01025,11.3,46.5,10.9,81.15,50.400000000000006,16.65,38.5
01027,11.35,44.1,10.5,79.05000000000001,50.6,14.7,40.55
01029,10.35,39.95,10.05,77.75,52.6,13.149999999999999,39.7
01031,11.5,41.5,10.2,78.5,59.7,13.75,37.75
01033,10.0,41.45,10.350000000000001,79.2,56.099999999999994,13.55,39.3
01035,13.149999999999999,50.6,11.15,81.3,49.25,19.450000000000003,40.5
01037,11.4,45.45,10.4,80.15,52.55,16.05,39.95
01039,10.65,43.0,10.3,79.30000000000001,54.45,14.55,40.6
01041,11.45,43.7,10.55,79.75,52.95,15.0,39.05
01043,10.3,39.8,9.850000000000001,78.1,54.9,12.2,38.35
01045,11.65,42.4,10.350000000000001,79.0,54.6,14.75,39.400000000000006
01047,12.65,52.2,11.7,83.0,47.849999999999994,20.25,40.400000000000006
01049,15.05,42.25,10.1,77.1,47.55,14.5,39.55
01051,9.35,39.900000000000006,10.0,79.6,59.8,12.2,38.150000000000006
01053,13.3,46.3,10.95,79.5,48.3,17.05,39.7
01055,11.05,43.599999999999994,10.3,78.95,54.400000000000006,14.850000000000001,39.25
01057,11.25,44.25,10.4,79.05,50.2,14.850000000000001,39.599999999999994
01059,16.1,42.15,10.0,77.4,50.55,15.149999999999999,40.7
01061,12.15,42.3,10.45,78.6,54.5,14.7,39.900000000000006
01063,15.0,56.099999999999994,12.15,83.45,41.85,24.1,40.650000000000006
01065,12.600000000000001,48.55,11.4,81.45,49.150000000000006,18.0,38.8
01067,10.600000000000001,44.25,10.4,79.95,50.150000000000006,14.75,39.8
01069,10.600000000000001,42.15,10.45,80.4,53.7,14.399999999999999,37.2
01071,11.5,42.75,10.350000000000001,78.3,52.4,14.35,39.55
01073,9.2,41.35,9.9,80.6,58.45,14.3,37.45
01075,11.2,44.05,10.4,78.85,54.7,14.8,41.0
01077,9.25,37.75,9.95,78.7,60.3,11.95,37.65
01079,10.8,41.5,10.55,78.5,52.400000000000006,14.0,39.3
01081,8.95,38.05,10.05,79.15,57.25,12.6,35.8
01083,9.399999999999999,39.0,9.7,78.75,60.400000000000006,11.7,38.05
01085,14.3,53.45,11.75,82.65,44.75,21.75,39.2
01087,11.55,49.5,11.75,83.0,47.7,18.85,37.05
01089,8.15,37.400000000000006,9.4,79.8,62.849999999999994,11.5,36.85
01091,11.8,48.6,11.05,81.8,49.8,17.950000000000003,40.8
01093,11.35,42.599999999999994,10.3,78.1,54.0,13.9,40.45
01095,12.8,39.6,9.8,77.2,57.0,13.45,39.65
01097,10.35,41.35,9.75,78.85,51.45,15.100000000000001,37.75
01099,12.45,48.0,11.2,81.05,49.400000000000006,17.65,39.3
01101,10.3,45.05,10.75,82.5,53.5,15.6,36.05
01103,11.45,42.2,9.9,78.15,55.3,13.5,38.849999999999994
01105,14.15,54.4,12.05,83.0,43.25,22.55,39.95
01107,13.7,45.95,10.649999999999999,80.2,50.599999999999994,16.6,39.6
01109,10.5,41.6,10.9,79.6,55.45,14.35,35.900000000000006
01111,10.55,42.900000000000006,10.350000000000001,79.75,52.75,14.4,40.65
01113,12.05,45.2,11.05,80.0,49.3,16.3,38.75
01115,9.35,39.5,10.0,78.85,61.2,11.95,39.75
01117,7.25,38.3,9.350000000000001,78.85,67.65,10.399999999999999,38.0
01119,11.45,49.55,11.649999999999999,82.75,45.849999999999994,18.95,37.8
01121,11.15,45.6,10.649999999999999,80.6,52.55,15.7,38.900000000000006
01123,10.35,44.65,10.4,80.7,55.7,14.75,40.8
01125,9.45,39.849999999999994,10.25,80.94999999999999,55.55,12.2,37.5
01127,10.95,41.35,10.350000000000001,78.6,51.8,13.649999999999999,38.5
01129,9.95,44.099999999999994,10.6,79.55,50.5,15.15,39.55
01131,14.75,53.55,12.0,82.44999999999999,40.400000000000006,21.450000000000003,39.9
01133,12.149999999999999,43.2,10.350000000000001,78.25,56.7,14.6,41.7
02013,15.85,33.5,7.8,64.4,47.85,12.850000000000001,33.6
02016,13.05,31.450000000000003,7.8,64.15,51.400000000000006,11.100000000000001,32.8
02020,9.5,31.45,10.649999999999999,70.7,64.2,8.850000000000001,30.5
02050,15.9,38.6,13.5,64.25,37.0,14.25,30.85
