geoid,hpsa_score_max,hpsa_designation_count,pct_below_poverty,hpsa_designated
01001,15,1,10.6,1
01005,19,3,21.9,1
01007,20,2,,1
01009,11,1,14.1,1
01011,22,4,25.6,1
01013,19,3,21.0,1
01015,15,2,17.4,1
01017,15,1,,1
01019,15,2,,1
01023,14,1,19.5,1
01025,20,2,20.5,1
01027,11,1,16.5,1
01029,14,1,13.1,1
01031,13,1,17.6,1
01033,17,1,16.8,1
01035,14,1,27.6,1
01037,14,1,11.6,1
01039,15,1,18.0,1
01041,11,1,16.1,1
01043,12,1,13.9,1
01045,18,1,18.7,1
01047,21,2,29.0,1
01049,15,2,20.3,1
01051,19,5,10.2,1
01053,19,3,21.2,1
01055,20,2,17.1,1
01057,11,1,18.6,1
01059,15,1,17.3,1
01061,13,1,19.0,1
01063,21,1,35.9,1
01065,22,3,23.8,1
01067,12,1,15.7,1
01071,19,2,16.7,1
01073,24,5,16.3,1
01075,16,1,15.0,1
01077,12,1,13.6,1
01079,16,1,13.7,1
01081,16,1,18.8,1
01085,16,1,29.5,1
01087,19,2,22.0,1
01089,18,3,,1
01091,17,1,22.5,1
01093,15,1,16.8,1
01095,13,1,16.2,1
01097,20,4,,1
01099,17,1,22.6,1
01101,20,3,19.2,1
01103,8,1,13.5,1
01107,21,2,22.5,1
01109,19,2,23.4,1
01111,15,1,18.3,1
01113,19,1,22.2,1
01119,22,2,28.1,1
01121,20,3,17.6,1
01123,14,1,,1
01125,22,1,,1
01127,19,1,,1
01129,16,1,18.4,1
01131,23,2,29.0,1
02013,15,7,12.4,1
02016,11,8,9.2,1
02020,15,20,8.1,1
02050,20,44,24.0,1
02060,7,6,9.6,1
02063,9,5,,1
02066,12,10,,1
02068,11,3,6.5,1
02070,19,16,,1
02090,15,7,8.1,1
02100,12,4,8.2,1
02105,9,7,8.2,1
02110,15,9,7.6,1
02122,16,17,12.0,1
02130,18,3,,1
02150,9,9,,1
02158,19,16,31.2,1
02164,15,14,16.5,1
02170,18,9,,1
02180,20,18,,1
02185,17,9,8.3,1
02188,20,15,,1
02195,5,2,,1
02198,18,14,,1
02220,9,4,8.2,1
02230,9,2,8.2,1
02240,16,7,,1
02261,3,1,,1
02275,7,3,,1
