Common State FIPS Code,geoid,county_name,state_name,HPSA Name,HPSA Status,hpsa_score,Designation Type,hpsa_population,underserved_population,provider_ratio,pct_below_poverty,rural_status,metro_indicator
72,72119,"Rio Grande Municipio, PR",Puerto Rico,LI - Rio Grande Municipio,Designated,21,HPSA Population,34526.0,34526.0,,38.2,Partially Rural,Unknown
72,72021,"Bayamon Municipio, PR",Puerto Rico,COMMUNITY HEALTH FOUNDATION OF PUERTO RICO INC,Designated,12,Federally Qualified Health Center,127222.0,,,,Non-Rural,Unknown
72,72107,"Orocovis Municipio, PR",Puerto Rico,LI - Orocovis Municipio,Designated,16,HPSA Population,17879.0,6028.0,4526:1,56.1,Partially Rural,Unknown
72,72007,"Aguas Buenas Municipio, PR",Puerto Rico,LI - Aguas Buenas Municipio,Designated,10,HPSA Population,19976.0,4864.0,3966:1,46.6,Non-Rural,Unknown
72,72083,"Las Marias Municipio, PR",Puerto Rico,LI - Las Marías Municipio,Designated,20,HPSA Population,6890.0,2171.0,4380:1,50.6,Partially Rural,Unknown
72,72049,"Culebra Municipio, PR",Puerto Rico,LI- Culebra,Designated,13,HPSA Population,1258.0,1258.0,,43.9,Rural,Unknown
72,72033,"Catano Municipio, PR",Puerto Rico,LI - Cataño Municipio,Designated,15,HPSA Population,17563.0,11105.0,8159:1,48.6,Partially Rural,Unknown
72,72093,"Maricao Municipio, PR",Puerto Rico,LI - Maricao Municipio,Designated,23,HPSA Population,5473.0,5473.0,,58.0,Rural,Unknown
72,72089,"Luquillo Municipio, PR",Puerto Rico,LI - Luquillo Municipio,Designated,21,HPSA Population,13745.0,7376.0,6474:1,42.5,Non-Rural,Unknown
72,72135,"Toa Alta Municipio, PR",Puerto Rico,LI - Toa Alta Municipio,Designated,12,HPSA Population,43808.0,19168.0,5334:1,29.4,Non-Rural,Unknown
72,72073,"Jayuya Municipio, PR",Puerto Rico,LI - Jayuya Municipio,Designated,17,HPSA Population,12457.0,4587.0,4749:1,60.9,Rural,Unknown
72,72099,"Moca Municipio, PR",Puerto Rico,LI - Moca Municipio,Designated,12,HPSA Population,28724.0,1547.0,3171:1,54.2,Non-Rural,Unknown
