Bldg County,Lease Annual Rent Amount,Lease ANSI Rentable Sqft,Average Rent per Sqft
ADA,414641.34,13532.0,30.64154153118534
ADAIR,75932.17,4060.0,18.702504926108375
ALACHUA,44532.0,1200.0,37.11
ALAMOSA,141009.7,5360.0,26.30777985074627
ALBANY,44780.59,1182.0,37.8854399323181
ALEUTIANS WEST,22200.0,1051.0,21.122740247383444
ALEXANDRIA (CITY),1126347.9266666665,38008.0,29.63449607100259
ALLEGHENY,198937.006,7419.2,26.813808227302136
ANCHORAGE,359308.496,8299.0,43.29539655380166
ANDERSON,42457.68,2164.0,19.62
ANNE ARUNDEL,73353.84,3500.0,20.95824
APACHE,125316.63,2185.0,57.353148741418764
ARAPAHOE,487540.11,18037.0,27.029999999999998
ARLINGTON,3511558.675,108485.5,32.36892188356969
ARMSTRONG,96308.67,5632.0,17.100261008522725
BALDWIN,164536.76,6109.5,26.93129716016041
BALTIMORE,567691.875,17611.666666666668,32.233853033027344
BELL,269579.84,11475.0,23.49279651416122
BENTON,22455.54,822.0,27.318175182481752
BERKELEY,191151.86,6345.0,30.126376674546886
BETHEL,81904.43,1051.0,77.92999999999999
BEXAR,4998867.245,92311.25,54.15230803396119
BIBB,185987.90000000002,9952.0,18.688494774919615
BLACK HAWK,32789.49,1083.0,30.27653739612188
BLAIR,273839.7,13180.0,20.776911987860395
BRADFORD,105933.37,4309.0,24.58421211417962
BREATHITT,237179.77,7056.0,33.61391298185941
BREVARD,40340.43,1620.0,24.9015
BRONX,122180.48,4025.0,30.355398757763975
BROWARD,725274.458,14293.8,50.740492940995395
BROWN,150719.72333333333,4155.0,36.27430164460489
BRYAN,24949.21,1665.0,14.98451051051051
BUCHANAN,39909.82,1637.07,24.378810924395413
BURLEIGH,269179.01333333337,12560.769999999999,21.430136315953035
BUTTE,141744.46,4002.0,35.41840579710145
CABARRUS,876259.17,37037.0,23.65902124902125
CABELL,29797.285,564.0,52.83206560283688
CALCASIEU,37160.32,954.0,38.95211740041929
CAMBRIA,25982.98,836.0,31.08011961722488
CAMDEN,31680.95,2835.0,11.174938271604939
CAMERON,18379.79,748.0,24.571911764705884
CAPE GIRARDEAU,126071.69,6646.0,18.969559133313272
CARBON,342556.43,19011.44,18.01843679384623
CASS,74482.4925,1669.5,44.61365229110512
CENTRE,61305.12,1073.0,57.13431500465983
CHARLESTON,267164.6157142857,6283.714285714285,42.51698972400309
CHARLOTTESVILLE(CITY),67869.386,2497.144,27.17880346507851
CHAUTAUQUA,114235.42,4683.0,24.39364082852872
CHAVES,74563.155,3018.5,24.70205565678317
CHELAN,150473.91999999998,4043.0,37.21838238931486
CIBOLA,39459.71,2246.0,17.568882457702582
CLALLAM,60916.0,3125.0,19.49312
CLARK,353159.3633333333,10466.666666666666,33.74134044585987
COBB,385934.58666666667,18385.333333333332,20.991438102835595
COCONINO,208381.654,5622.2,37.06407705168795
CODINGTON,21040.0,526.0,40.0
COLLIN,354582.5,11473.0,30.90582236555391
COLUMBUS,261193.0,9358.0,27.911198974139772
COMANCHE,58730.5,2653.0,22.137391632114586
COOK,644572.1875,25415.25,25.361630812209206
COOS,318822.0266666667,17409.666666666668,18.312931130215013
CROW WING,21395.4,507.0,42.2
CUMBERLAND,153324.33399999997,6578.0,23.308655214350864
CUYAHOGA,738781.96,14661.5,50.38924803055622
DALLAS,560493.6475,15533.0,36.08405636387047
DANE,163187.67,5922.333333333333,27.55462430348399
DAUPHIN,61809.0225,2964.75,20.847971161143434
DAVIDSON,446031.0316666667,14022.333333333334,31.808617087027837
DAVIESS,31801.45,808.0,39.358230198019804
DE SOTO,48147.37,2070.0,23.259599033816425
DEKALB,156998.576,4457.4,35.222007448288245
DENVER,2262287.13,51626.8,43.82001460481765
DISTRICT OF COLUMBIA,3574023.4868224296,111035.28971962616,32.1881763522854
DODGE,69677.38,4075.0,17.09874355828221
DOUGHERTY,99192.47,5517.0,17.97942178720319
DOUGLAS,229946.16499999998,9667.65,23.785114790047217
