Lessor State,Lease Annual Rent Amount,Lease ANSI Rentable Sqft,Average Rent per Sqft
AK,325737.6004054054,8448.75945945946,38.55448861675199
AL,497339.3018072289,15834.783132530121,31.408027356277582
AR,241351.02314814815,9060.074074074075,26.638967979167855
AS,235655.962,5269.8,44.71819841360203
AZ,592024.7992241379,20098.84974137931,29.45565576348796
CA,770933.8171758666,19469.410192554555,39.59718396968621
CO,645797.3404081633,22587.524829931972,28.59088568891717
CT,606753.5318367346,16304.959183673469,37.21282126509651
DC,3258791.922865497,79358.71988304093,41.064068670315145
DE,275508.10000000003,9293.296296296296,29.6458964845229
FL,515691.34387179493,14961.038487179487,34.468953763717984
GA,630371.352,19733.290533333333,31.944563474357263
GU,949398.7954545454,18401.194545454546,51.59441106442002
HI,354364.6036842105,8026.736842105263,44.14802810344375
IA,294723.2030909091,15783.619636363635,18.672725894376022
ID,245614.86943396227,9795.377358490567,25.074569406054067
IL,1333273.9513123843,41790.72794824399,31.90358284650094
IN,229516.90690140845,9090.932112676057,25.24679582431142
KS,495172.0298387097,14570.151129032258,33.98537362128232
KY,233123.2502739726,10392.260273972603,22.432391426707177
LA,297441.8572868217,10955.062015503876,27.15108840697338
MA,952823.1445945946,29917.96972972973,31.847854423349002
MD,1631073.7548826293,50487.661643192485,32.30638341719586
ME,242624.26025,7813.725,31.051036509475313
MI,366030.13163841807,13299.946045197741,27.52117417578411
MN,438000.1818269231,25794.021923076925,16.980685801273243
MO,827276.0689166668,32154.217500000002,25.728384430958915
MP,716526.2342857142,11908.57142857143,60.16894961612283
MS,242152.97431372548,7827.196078431372,30.93738445891274
MT,238420.26814814814,8346.117530864198,28.56660803858353
NC,391098.37313829793,13244.096914893618,29.530014439753092
ND,140114.11365853657,5704.729756097561,24.56104314297695
NE,257098.8824489796,10446.559591836734,24.610866399487602
NH,2120040.8775,68653.79818181819,30.88016881288088
NJ,843186.6430718955,22877.356274509802,36.85682178282912
NM,264655.7362295082,10586.147540983606,25.00019343249375
NV,943617.0654166667,24562.51895833333,38.41695011075098
NY,1083886.5099788136,27423.74478813559,39.523650703157735
OH,446268.9526282051,14157.034551282051,31.522770606489146
OK,387946.7634574468,14398.72340425532,26.943136038212607
OR,413431.9244578313,12419.668674698794,33.28848259052756
PA,555794.403073593,17955.900735930736,30.953301159736206
PR,688395.4685714286,15333.376923076923,44.895229017385255
RI,673793.768076923,19798.277692307693,34.03294865081698
SC,381283.22764705884,10922.558823529413,34.90786671944465
SD,143360.17824561405,5341.296666666666,26.83995800875082
TN,263382.1973333333,9477.11025,27.791403749189616
TX,895247.3608453608,26187.43030927835,34.186147715614915
UT,463045.209375,15497.81025,29.87810548106304
VA,1803233.7110661764,53695.166213235294,33.582794099288925
VI,230713.60545454547,4316.41090909091,53.45033415809262
VT,334602.6942857143,10195.339714285714,32.81918049448307
WA,574341.564390244,16396.656219512195,35.02796891641671
WI,248896.05962962966,8350.967901234568,29.804456510105137
WV,318950.5146031746,14268.88619047619,22.352866954398937
WY,201294.43090909094,6856.428181818181,29.358497685847833
