,geoid,uninsured_pct,high_bp_pct,asthma_pct,no_check_up_pct,no_dental_visit_pct,diabetes_pct,high_cholesterol_pct
0,1001,8.95,40.1,10.0,80.2,61.9,12.35,38.8
1,1003,8.55,40.4,9.35,79.1,63.05,11.9,39.1
2,1005,14.55,47.8,10.85,80.35,45.8,18.05,39.75
3,1007,12.8,44.35,10.4,78.25,50.7,15.05,39.55
4,1009,11.75,38.6,9.9,78.25,54.45,12.55,38.95
5,1011,17.95,54.5,11.5,81.19999999999999,39.25,22.950000000000003,40.150000000000006
6,1013,11.55,47.9,11.0,81.44999999999999,49.55,17.049999999999997,39.7
7,1015,10.8,43.15,10.6,78.44999999999999,56.25,13.85,37.9
8,1017,11.8,45.75,10.8,80.2,48.65,16.2,38.3
9,1019,10.4,41.7,10.25,78.35,57.6,13.9,41.35
10,1021,11.85,41.05,10.0,78.05,59.1,13.05,40.5
11,1023,11.4,48.45,11.0,81.44999999999999,49.400000000000006,17.55,40.85
12,1025,11.3,46.5,10.9,81.15,50.400000000000006,16.65,38.5
13,1027,11.35,44.1,10.5,79.05000000000001,50.6,14.7,40.55
14,1029,10.35,39.95,10.05,77.75,52.6,13.15,39.7
15,1031,11.5,41.5,10.2,78.5,59.7,13.75,37.75
16,1033,10.0,41.45,10.35,79.2,56.1,13.55,39.3
17,1035,13.15,50.6,11.15,81.3,49.25,19.450000000000003,40.5
18,1037,11.4,45.45,10.4,80.15,52.55,16.05,39.95
19,1039,10.65,43.0,10.3,79.30000000000001,54.45,14.55,40.6
20,1041,11.45,43.7,10.55,79.75,52.95,15.0,39.05
21,1043,10.3,39.8,9.85,78.1,54.9,12.2,38.35
22,1045,11.65,42.4,10.35,79.0,54.6,14.75,39.400000000000006
23,1047,12.65,52.2,11.7,83.0,47.85,20.25,40.400000000000006
24,1049,15.05,42.25,10.1,77.1,47.55,14.5,39.55
25,1051,9.35,39.900000000000006,10.0,79.6,59.8,12.2,38.150000000000006
26,1053,13.3,46.3,10.95,79.5,48.3,17.05,39.7
27,1055,11.05,43.6,10.3,78.95,54.400000000000006,14.85,39.25
28,1057,11.25,44.25,10.4,79.05,50.2,14.85,39.6
29,1059,16.1,42.15,10.0,77.4,50.55,15.15,40.7
30,1061,12.15,42.3,10.45,78.6,54.5,14.7,39.900000000000006
31,1063,15.0,56.1,12.15,83.45,41.85,24.1,40.650000000000006
32,1065,12.6,48.55,11.4,81.45,49.150000000000006,18.0,38.8
33,1067,10.6,44.25,10.4,79.95,50.150000000000006,14.75,39.8
34,1069,10.6,42.15,10.45,80.4,53.7,14.4,37.2
35,1071,11.5,42.75,10.35,78.3,52.4,14.35,39.55
36,1073,9.2,41.35,9.9,80.6,58.45,14.3,37.45
37,1075,11.2,44.05,10.4,78.85,54.7,14.8,41.0
38,1077,9.25,37.75,9.95,78.7,60.3,11.95,37.65
39,1079,10.8,41.5,10.55,78.5,52.400000000000006,14.0,39.3
40,1081,8.95,38.05,10.05,79.15,57.25,12.6,35.8
41,1083,9.4,39.0,9.7,78.75,60.400000000000006,11.7,38.05
42,1085,14.3,53.45,11.75,82.65,44.75,21.75,39.2
43,1087,11.55,49.5,11.75,83.0,47.7,18.85,37.05
44,1089,8.15,37.400000000000006,9.4,79.8,62.85,11.5,36.85
45,1091,11.8,48.6,11.05,81.8,49.8,17.950000000000003,40.8
46,1093,11.35,42.6,10.3,78.1,54.0,13.9,40.45
47,1095,12.8,39.6,9.8,77.2,57.0,13.45,39.65
48,1097,10.35,41.35,9.75,78.85,51.45,15.1,37.75
49,1099,12.45,48.0,11.2,81.05,49.400000000000006,17.65,39.3
50,1101,10.3,45.05,10.75,82.5,53.5,15.6,36.05
51,1103,11.45,42.2,9.9,78.15,55.3,13.5,38.85
52,1105,14.15,54.4,12.05,83.0,43.25,22.55,39.95
53,1107,13.7,45.95,10.65,80.2,50.6,16.6,39.6
54,1109,10.5,41.6,10.9,79.6,55.45,14.35,35.900000000000006
55,1111,10.55,42.900000000000006,10.35,79.75,52.75,14.4,40.65
56,1113,12.05,45.2,11.05,80.0,49.3,16.3,38.75
57,1115,9.35,39.5,10.0,78.85,61.2,11.95,39.75
58,1117,7.25,38.3,9.35,78.85,67.65,10.4,38.0
59,1119,11.45,49.55,11.65,82.75,45.85,18.95,37.8
60,1121,11.15,45.6,10.65,80.6,52.55,15.7,38.900000000000006
61,1123,10.35,44.65,10.4,80.7,55.7,14.75,40.8
62,1125,9.45,39.85,10.25,80.94999999999999,55.55,12.2,37.5
63,1127,10.95,41.35,10.35,78.6,51.8,13.65,38.5
64,1129,9.95,44.1,10.6,79.55,50.5,15.15,39.55
65,1131,14.75,53.55,12.0,82.44999999999999,40.400000000000006,21.450000000000003,39.9
66,1133,12.15,43.2,10.35,78.25,56.7,14.6,41.7
67,2013,15.85,33.5,7.8,64.4,47.85,12.85,33.6
68,2016,13.05,31.450000000000003,7.8,64.15,51.400000000000006,11.1,32.8
69,2020,9.5,31.45,10.65,70.7,64.2,8.850000000000001,30.5
70,2050,15.9,38.6,13.5,64.25,37.0,14.25,30.85
71,2060,9.75,33.75,11.05,66.44999999999999,58.55,10.2,32.25
72,2063,9.0,31.55,10.0,66.95,61.2,8.8,32.4
73,2066,9.75,35.25,10.8,68.15,57.900000000000006,10.15,32.6
74,2068,9.4,30.95,9.85,66.5,61.45,8.15,31.3
75,2070,13.35,34.15,12.65,63.6,47.1,12.75,30.9
76,2090,9.7,31.0,10.0,66.3,62.55,8.100000000000001,31.700000000000003
77,2100,8.0,34.3,10.2,69.5,61.6,9.25,33.95
78,2105,10.75,38.0,11.45,69.35,53.5,12.6,35.0
79,2110,8.6,30.95,10.2,67.65,62.75,8.35,32.95
80,2122,10.1,32.85,10.35,64.25,59.9,8.850000000000001,34.65
81,2130,9.65,32.849999999999994,10.35,68.2,60.75,9.35,32.05
82,2150,10.5,30.6,9.3,67.35,55.75,9.55,33.25
83,2158,18.1,40.0,14.65,65.05,32.0,17.25,31.2
84,2164,12.35,36.6,12.5,67.45,49.5,13.6,32.1
85,2170,9.8,31.2,10.7,70.35,55.9,8.65,33.8
86,2180,13.5,34.55,12.75,64.65,38.95,13.35,31.2
87,2185,11.4,35.099999999999994,10.4,64.94999999999999,51.7,10.9,30.95
88,2188,14.2,37.45,13.25,66.5,42.7,14.35,30.9
89,2195,10.05,32.9,9.9,66.80000000000001,59.85,9.5,33.45
90,2198,11.45,36.3,12.0,68.4,52.55,12.5,32.95
91,2220,8.9,31.85,10.1,67.75,61.25,9.15,30.9
92,2230,9.85,31.65,10.05,67.45,58.75,8.45,31.95
93,2240,11.6,34.15,10.1,65.05000000000001,52.8,9.6,30.950000000000003
94,2275,10.6,36.1,10.8,68.5,56.4,11.0,35.6
95,2282,12.35,37.15,11.05,67.1,52.150000000000006,12.15,34.3
96,2290,13.65,39.25,12.65,68.05000000000001,43.0,15.2,34.95
97,4001,14.35,34.35,14.35,70.9,43.95,16.4,31.2
98,4003,14.55,35.45,10.45,73.1,55.7,12.15,37.05
99,4005,10.25,27.7,11.7,68.8,60.85,9.55,31.15
100,4007,12.65,34.25,11.35,74.3,52.55,12.75,35.45
101,4009,16.0,31.75,11.2,70.5,54.65,11.15,31.8
102,4011,16.1,29.25,10.1,70.9,57.45,10.35,33.45
103,4012,17.35,38.65,11.0,74.3,49.75,14.5,36.95
104,4013,13.0,29.700000000000003,10.05,72.65,61.95,10.1,34.75
105,4015,13.7,36.5,11.1,71.35,52.55,11.95,36.55
106,4017,13.3,38.0,13.7,69.85,50.150000000000006,13.7,33.0
107,4019,12.85,32.1,10.95,74.5,57.5,10.25,35.349999999999994
108,4021,13.85,33.900000000000006,10.85,74.05000000000001,56.45,11.9,37.4
109,4023,26.1,33.5,9.45,71.6,52.0,14.35,36.2
110,4025,11.2,32.5,10.9,73.35,60.95,10.05,35.6
111,4027,24.1,33.45,9.75,72.55000000000001,51.0,13.7,33.5
112,5001,11.45,42.35,10.7,79.44999999999999,48.3,13.65,36.1
113,5003,13.3,45.75,11.1,79.80000000000001,49.2,16.25,38.3
114,5005,10.35,41.6,10.35,79.35,53.75,12.65,35.95
115,5007,10.95,32.25,9.2,78.2,62.8,10.05,31.55
116,5009,9.75,37.650000000000006,10.3,77.75,54.55,11.75,36.7
117,5011,15.65,45.8,10.85,79.35,46.7,15.95,38.35
118,5013,10.55,42.0,10.35,78.8,51.2,12.95,37.25
119,5015,14.25,41.35,9.85,77.55,54.6,13.2,37.85
120,5017,14.8,49.55,11.1,80.44999999999999,41.9,18.3,37.95
121,5019,10.7,40.95,10.9,79.1,52.3,12.9,34.6
122,5021,11.3,40.05,10.45,76.85,49.3,12.6,37.400000000000006
123,5023,10.55,40.4,10.25,78.2,54.65,12.9,37.7
124,5025,10.45,42.95,10.55,78.3,48.0,13.3,36.900000000000006
125,5027,11.3,42.3,11.05,79.55,52.35,13.95,34.099999999999994
126,5029,11.5,43.65,10.65,78.1,48.05,14.0,37.8
127,5031,10.65,38.8,10.55,77.4,52.150000000000006,11.4,35.05
128,5033,11.85,39.65,10.3,77.19999999999999,54.3,11.95,37.9
129,5035,12.5,46.05,11.6,80.80000000000001,46.75,15.65,36.95
130,5037,12.45,44.0,10.95,78.44999999999999,49.75,14.75,37.25
131,5039,11.45,45.55,10.75,80.05,49.5,14.9,37.1
132,5041,16.4,49.75,11.85,80.19999999999999,40.6,19.15,38.3
133,5043,12.3,43.25,11.1,79.2,51.9,14.35,36.3
134,5045,9.2,35.7,10.15,77.45,59.85,10.85,34.900000000000006
135,5047,11.8,41.55,10.65,77.3,47.35,13.15,38.05
136,5049,11.75,44.35,10.7,78.6,44.1,14.75,38.85
