NAME,median_household_income,health_insurance_total,total_population,state,county,geoid,hpsa_score_max,hpsa_designation_count,pct_below_poverty,hpsa_designated
"Autauga County, Alabama",72481,58355,59947,1,1,01001,15.0,1.0,10.6,1.0
"Baldwin County, Alabama",78775,243859,246989,1,3,01003,,,,
"Barbour County, Alabama",46042,21581,24643,1,5,01005,19.0,3.0,21.9,1.0
"Bibb County, Alabama",52541,20552,22130,1,7,01007,20.0,2.0,,1.0
"Blount County, Alabama",64190,59093,59518,1,9,01009,11.0,1.0,14.1,1.0
"Bullock County, Alabama",31310,8769,10058,1,11,01011,22.0,4.0,25.6,1.0
"Butler County, Alabama",44755,18380,18630,1,13,01013,19.0,3.0,21.0,1.0
"Calhoun County, Alabama",55029,114485,116090,1,15,01015,15.0,2.0,17.4,1.0
"Chambers County, Alabama",49656,33666,34192,1,17,01017,15.0,1.0,,1.0
"Cherokee County, Alabama",53863,25193,25443,1,19,01019,15.0,2.0,,1.0
"Chilton County, Alabama",65603,45696,45992,1,21,01021,,,,
"Choctaw County, Alabama",47813,12267,12380,1,23,01023,14.0,1.0,19.5,1.0
"Clarke County, Alabama",49249,22234,22543,1,25,01025,20.0,2.0,20.5,1.0
"Clay County, Alabama",55250,13951,14192,1,27,01027,11.0,1.0,16.5,1.0
"Cleburne County, Alabama",55345,15204,15426,1,29,01029,14.0,1.0,13.1,1.0
"Coffee County, Alabama",68353,52676,54920,1,31,01031,13.0,1.0,17.6,1.0
"Colbert County, Alabama",60628,57670,58022,1,33,01033,17.0,1.0,16.8,1.0
"Conecuh County, Alabama",41327,11184,11275,1,35,01035,14.0,1.0,27.6,1.0
"Coosa County, Alabama",57355,9971,10300,1,37,01037,14.0,1.0,11.6,1.0
"Covington County, Alabama",52456,37128,37628,1,39,01039,15.0,1.0,18.0,1.0
"Crenshaw County, Alabama",48560,12934,13122,1,41,01041,11.0,1.0,16.1,1.0
"Cullman County, Alabama",62656,89754,90566,1,43,01043,12.0,1.0,13.9,1.0
"Dale County, Alabama",54963,47185,49599,1,45,01045,18.0,1.0,18.7,1.0
"Dallas County, Alabama",35627,36567,36858,1,47,01047,21.0,2.0,29.0,1.0
"DeKalb County, Alabama",51204,71520,72269,1,49,01049,15.0,2.0,20.3,1.0
"Elmore County, Alabama",78243,84814,89526,1,51,01051,19.0,5.0,10.2,1.0
"Escambia County, Alabama",48225,34155,36629,1,53,01053,19.0,3.0,21.2,1.0
"Etowah County, Alabama",54563,101952,103105,1,55,01055,20.0,2.0,17.1,1.0
"Fayette County, Alabama",49488,15867,16053,1,57,01057,11.0,1.0,18.6,1.0
"Franklin County, Alabama",53338,31655,31966,1,59,01059,15.0,1.0,17.3,1.0
"Geneva County, Alabama",52771,26560,26887,1,61,01061,13.0,1.0,19.0,1.0
"Greene County, Alabama",29200,7347,7424,1,63,01063,21.0,1.0,35.9,1.0
"Hale County, Alabama",39250,14629,14829,1,65,01065,22.0,3.0,23.8,1.0
"Henry County, Alabama",59931,17452,17647,1,67,01067,12.0,1.0,15.7,1.0
"Houston County, Alabama",58626,107023,108140,1,69,01069,,,,
"Jackson County, Alabama",51908,52544,53053,1,71,01071,19.0,2.0,16.7,1.0
"Jefferson County, Alabama",66388,660402,667755,1,73,01073,24.0,5.0,16.3,1.0
"Lamar County, Alabama",50000,13593,13693,1,75,01075,16.0,1.0,15.0,1.0
"Lauderdale County, Alabama",62649,94802,95830,1,77,01077,12.0,1.0,13.6,1.0
"Lawrence County, Alabama",66071,33044,33276,1,79,01079,16.0,1.0,13.7,1.0
"Lee County, Alabama",65824,179575,181134,1,81,01081,16.0,1.0,18.8,1.0
"Limestone County, Alabama",83629,108206,111233,1,83,01083,,,,
"Lowndes County, Alabama",37052,9661,9833,1,85,01085,16.0,1.0,29.5,1.0
"Macon County, Alabama",43707,18551,18691,1,87,01087,19.0,2.0,22.0,1.0
"Madison County, Alabama",86499,401432,405718,1,89,01089,18.0,3.0,,1.0
"Marengo County, Alabama",43825,18650,18851,1,91,01091,17.0,1.0,22.5,1.0
"Marion County, Alabama",50088,28568,29184,1,93,01093,15.0,1.0,16.8,1.0
"Marshall County, Alabama",62571,98736,99748,1,95,01095,13.0,1.0,16.2,1.0
"Mobile County, Alabama",58880,408063,412590,1,97,01097,20.0,4.0,,1.0
"Monroe County, Alabama",42292,19106,19388,1,99,01099,17.0,1.0,22.6,1.0
"Montgomery County, Alabama",59386,220084,226718,1,101,01101,20.0,3.0,19.2,1.0
"Morgan County, Alabama",68845,122480,124471,1,103,01103,8.0,1.0,13.5,1.0
"Perry County, Alabama",37654,7873,8031,1,105,01105,,,,
"Pickens County, Alabama",46274,17089,18721,1,107,01107,21.0,2.0,22.5,1.0
"Pike County, Alabama",48677,32752,32987,1,109,01109,19.0,2.0,23.4,1.0
"Randolph County, Alabama",52338,22279,22510,1,111,01111,15.0,1.0,18.3,1.0
"Russell County, Alabama",51197,56918,58811,1,113,01113,19.0,1.0,22.2,1.0
"St. Clair County, Alabama",77463,92023,94166,1,115,01115,,,,
"Shelby County, Alabama",97961,227943,230211,1,117,01117,,,,
"Sumter County, Alabama",33310,11737,11878,1,119,01119,22.0,2.0,28.1,1.0
"Talladega County, Alabama",57776,78235,81021,1,121,01121,20.0,3.0,17.6,1.0
"Tallapoosa County, Alabama",59356,40168,40938,1,123,01123,14.0,1.0,,1.0
"Tuscaloosa County, Alabama",66231,235544,237552,1,125,01125,22.0,1.0,,1.0
"Walker County, Alabama",56509,63953,64841,1,127,01127,19.0,1.0,,1.0
"Washington County, Alabama",61042,15018,15143,1,129,01129,16.0,1.0,18.4,1.0
"Wilcox County, Alabama",40640,9989,10172,1,131,01131,23.0,2.0,29.0,1.0
"Winston County, Alabama",57256,23359,23682,1,133,01133,,,,
"Aleutians East Borough, Alaska",65365,3466,3491,2,13,02013,15.0,7.0,12.4,1.0
"Aleutians West Census Area, Alaska",135500,5083,5235,2,16,02016,11.0,8.0,9.2,1.0
"Anchorage Municipality, Alaska",103284,275688,288976,2,20,02020,15.0,20.0,8.1,1.0
"Bethel Census Area, Alaska",73996,18104,18394,2,50,02050,20.0,44.0,24.0,1.0
"Bristol Bay Borough, Alaska",95625,897,918,2,60,02060,7.0,6.0,9.6,1.0
"Chugach Census Area, Alaska",90509,6526,6862,2,63,02063,9.0,5.0,,1.0
"Copper River Census Area, Alaska",79250,2618,2626,2,66,02066,12.0,10.0,,1.0
"Denali Borough, Alaska",80781,1944,1969,2,68,02068,11.0,3.0,6.5,1.0
"Dillingham Census Area, Alaska",78533,4703,4724,2,70,02070,19.0,16.0,,1.0
"Fairbanks North Star Borough, Alaska",88267,86170,95460,2,90,02090,15.0,7.0,8.1,1.0
"Haines Borough, Alaska",86927,2075,2086,2,100,02100,12.0,4.0,8.2,1.0
"Hoonah-Angoon Census Area, Alaska",61406,2311,2311,2,105,02105,9.0,7.0,8.2,1.0
"Juneau City and Borough, Alaska",101661,31045,31794,2,110,02110,15.0,9.0,7.6,1.0
"Kenai Peninsula Borough, Alaska",80538,59171,60413,2,122,02122,16.0,17.0,12.0,1.0
"Ketchikan Gateway Borough, Alaska",92885,13430,13768,2,130,02130,18.0,3.0,,1.0
"Kodiak Island Borough, Alaska",86250,11633,12771,2,150,02150,9.0,9.0,,1.0
"Kusilvak Census Area, Alaska",51471,8163,8176,2,158,02158,19.0,16.0,31.2,1.0
"Lake and Peninsula Borough, Alaska",65625,1010,1013,2,164,02164,15.0,14.0,16.5,1.0
"Matanuska-Susitna Borough, Alaska",94031,109616,112988,2,170,02170,18.0,9.0,,1.0
"Nome Census Area, Alaska",78681,9687,9866,2,180,02180,20.0,18.0,,1.0
"North Slope Borough, Alaska",95694,10738,10810,2,185,02185,17.0,9.0,8.3,1.0
"Northwest Arctic Borough, Alaska",84018,7393,7441,2,188,02188,20.0,15.0,,1.0
"Petersburg Borough, Alaska",75125,3270,3409,2,195,02195,5.0,2.0,,1.0
"Prince of Wales-Hyder Census Area, Alaska",61156,5698,5715,2,198,02198,18.0,14.0,,1.0
"Sitka City and Borough, Alaska",101727,7945,8368,2,220,02220,9.0,4.0,8.2,1.0
"Skagway Municipality, Alaska",81136,1244,1244,2,230,02230,9.0,2.0,8.2,1.0
"Southeast Fairbanks Census Area, Alaska",73882,6901,7068,2,240,02240,16.0,7.0,,1.0
"Wrangell City and Borough, Alaska",63750,2065,2088,2,275,02275,7.0,3.0,,1.0
"Yakutat City and Borough, Alaska",85000,522,527,2,282,02282,9.0,3.0,8.2,1.0
"Yukon-Koyukuk Census Area, Alaska",55741,5174,5195,2,290,02290,16.0,35.0,,1.0
"Apache County, Arizona",41438,64654,65341,4,1,04001,20.0,30.0,34.8,1.0
"Cochise County, Arizona",59742,117980,125566,4,3,04003,19.0,48.0,26.6,1.0
"Coconino County, Arizona",72966,143817,144508,4,5,04005,20.0,53.0,34.8,1.0
"Gila County, Arizona",61986,52766,53795,4,7,04007,20.0,24.0,44.0,1.0
"Graham County, Arizona",67325,36627,39232,4,9,04009,21.0,16.0,44.0,1.0
"Greenlee County, Arizona",71164,9382,9409,4,11,04011,18.0,3.0,10.7,1.0
"La Paz County, Arizona",49478,16570,16664,4,12,04012,18.0,19.0,28.3,1.0
"Maricopa County, Arizona",89300,4517431,4559748,4,13,04013,21.0,304.0,43.8,1.0
"Mohave County, Arizona",57684,216573,220517,4,15,04015,19.0,71.0,49.7,1.0
"Navajo County, Arizona",54606,106124,108415,4,17,04017,20.0,34.0,41.5,1.0
"Pima County, Arizona",70315,1038236,1060490,4,19,04019,21.0,131.0,43.8,1.0
"Pinal County, Arizona",80266,452911,469006,4,21,04021,21.0,110.0,33.5,1.0
"Santa Cruz County, Arizona",55217,48839,48926,4,23,04023,21.0,15.0,25.7,1.0
"Yavapai County, Arizona",69613,244073,245480,4,25,04025,19.0,55.0,15.3,1.0
"Yuma County, Arizona",62876,201860,211741,4,27,04027,18.0,70.0,21.3,1.0
"Arkansas County, Arkansas",53164,16290,16515,5,1,05001,16.0,1.0,,1.0
"Ashley County, Arkansas",44266,18240,18429,5,3,05003,17.0,1.0,22.7,1.0
"Baxter County, Arkansas",48452,42011,42407,5,5,05005,15.0,2.0,14.4,1.0
"Benton County, Arkansas",93506,302003,303632,5,7,05007,14.0,1.0,,1.0
"Boone County, Arkansas",55143,37780,38138,5,9,05009,13.0,1.0,13.4,1.0
"Bradley County, Arkansas",41476,10133,10208,5,11,05011,16.0,1.0,20.0,1.0
"Calhoun County, Arkansas",66809,4642,4704,5,13,05013,18.0,2.0,13.3,1.0
"Carroll County, Arkansas",54230,28356,28626,5,15,05015,17.0,1.0,16.2,1.0
