index,geoid,uninsured_pct,high_bp_pct,asthma_pct,no_checkup_pct,no_dental_visit_pct,diabetes_pct,high_cholesterol_pct,geoid_county
226,1001020100,15.0,38.8,9.8,74.1,63.4,10.7,35.6,1001
2109,1001020200,19.9,43.6,10.9,76.5,55.6,13.4,32.7,1001
3955,1001020300,16.7,39.6,10.1,74.3,61.1,11.3,35.0,1001
5732,1001020400,12.5,39.2,8.8,75.5,70.3,10.2,37.7,1001
8015,1001020500,12.8,34.6,9.2,73.5,68.4,8.7,32.7,1001
472,1001020600,18.0,41.9,10.6,74.6,56.1,12.8,35.6,1001
2231,1001020700,19.6,42.0,11.0,74.0,53.5,12.8,36.1,1001
5140,1001020801,12.7,37.1,9.2,73.9,68.4,9.7,35.3,1001
7467,1001020802,14.7,38.1,9.7,73.6,63.6,10.4,34.6,1001
3202,1001020900,14.6,36.9,9.3,73.2,65.9,9.8,34.5,1001
570,1001021000,16.5,42.6,10.3,75.2,58.9,12.8,36.5,1001
6777,1001021100,21.1,50.3,11.5,78.3,50.3,17.4,37.4,1001
4695,1003010100,17.8,41.9,10.0,75.5,59.2,13.8,37.7,1003
3787,1003010200,18.3,40.7,10.6,74.1,54.8,13.7,37.1,1003
1106,1003010300,15.2,37.5,9.6,75.0,64.0,11.5,35.1,1003
8418,1003010400,16.1,36.7,9.6,73.0,62.3,11.2,36.2,1003
6461,1003010500,15.7,38.1,9.3,74.7,63.0,11.6,35.7,1003
4374,1003010600,24.0,45.3,12.2,76.9,46.1,16.7,34.1,1003
6200,1003010701,10.3,36.0,8.3,75.8,73.6,9.9,37.2,1003
7919,1003010703,11.2,30.9,8.7,72.9,72.2,8.3,32.5,1003
1408,1003010704,13.6,37.5,9.5,74.4,63.4,11.6,35.8,1003
2655,1003010705,12.3,34.2,9.0,74.2,68.5,9.9,33.4,1003
4488,1003010800,13.1,42.5,9.5,77.9,65.2,13.8,38.2,1003
7439,1003010903,18.1,36.8,9.6,72.7,58.9,11.3,33.7,1003
921,1003010904,17.4,39.1,10.0,73.4,58.4,12.6,37.5,1003
1051,1003010905,17.1,34.6,9.4,72.6,61.9,10.4,33.8,1003
7313,1003010906,17.9,38.8,9.9,73.8,58.6,12.2,36.6,1003
4666,1003011000,19.3,40.8,10.1,74.2,56.7,13.7,38.0,1003
2574,1003011101,11.3,36.7,8.5,76.1,72.4,10.4,37.2,1003
1610,1003011102,12.1,34.7,8.7,74.3,70.5,9.8,35.7,1003
7851,1003011201,9.6,40.0,8.4,78.3,73.7,11.5,39.8,1003
6629,1003011202,13.0,41.0,9.2,78.0,68.5,12.5,38.4,1003
4284,1003011300,11.1,37.6,8.3,76.2,72.8,10.6,38.5,1003
2694,1003011401,15.9,38.5,9.4,74.8,63.1,12.1,36.8,1003
4286,1003011403,14.4,34.5,8.9,73.7,67.2,10.2,34.9,1003
5805,1003011405,9.4,39.4,8.2,77.5,74.7,11.2,41.1,1003
7822,1003011406,13.8,30.7,8.8,71.7,68.8,8.4,32.5,1003
1029,1003011407,11.5,39.1,8.8,76.3,69.9,11.6,39.2,1003
2580,1003011408,10.1,45.2,8.6,79.5,71.7,13.8,44.6,1003
5175,1003011501,15.2,41.7,9.2,77.1,64.6,13.2,39.1,1003
7286,1003011502,18.7,38.6,9.6,75.0,61.5,12.4,36.3,1003
3865,1003011601,15.6,39.3,9.5,74.5,62.5,12.3,38.4,1003
893,1003011602,13.1,49.8,8.7,80.6,65.5,16.5,45.7,1003
6883,1005950100,20.3,48.4,11.1,78.2,52.6,17.2,38.2,1005
4498,1005950200,27.8,46.9,11.0,74.0,40.7,16.1,33.2,1005
4314,1005950300,25.8,54.8,12.2,79.4,42.4,21.9,41.2,1005
1447,1005950400,28.1,46.1,10.6,73.4,42.6,16.2,35.4,1005
8413,1005950500,20.0,45.5,10.6,75.8,54.1,15.4,39.7,1005
6136,1005950600,21.9,46.7,11.7,76.4,48.0,16.6,37.1,1005
4825,1005950700,22.5,52.5,12.0,80.0,48.3,19.8,39.8,1005
6372,1005950800,17.7,46.3,10.5,78.5,57.7,15.3,38.3,1005
7866,1005950900,24.2,48.2,12.6,77.9,44.8,17.9,36.2,1005
1087,1007010001,20.9,43.4,10.6,73.4,50.5,13.6,37.4,1007
3238,1007010002,17.7,39.5,10.0,72.4,55.3,11.3,35.4,1007
4715,1007010003,14.8,40.7,9.4,75.0,62.2,11.5,36.2,1007
7367,1007010004,23.0,45.1,10.4,74.5,47.9,14.0,34.2,1007
604,1009050101,19.5,39.3,9.5,73.6,58.7,11.8,35.5,1009
1544,1009050102,19.8,44.3,9.8,75.9,57.6,14.0,39.1,1009
7505,1009050200,21.3,39.7,9.7,73.2,56.1,12.2,35.9,1009
4605,1009050300,20.3,44.3,10.5,74.6,52.6,14.5,38.6,1009
2244,1009050400,17.6,40.0,9.7,73.8,59.5,11.7,36.6,1009
1974,1009050500,18.6,41.2,10.0,73.9,56.0,12.7,36.5,1009
8462,1009050601,15.0,37.9,9.4,73.6,62.6,10.5,35.1,1009
6165,1009050602,14.1,37.1,9.2,73.5,64.9,10.0,34.8,1009
4330,1009050700,17.4,42.0,10.0,74.2,56.2,12.8,37.3,1009
2787,1011952100,24.2,58.9,13.1,82.7,41.2,24.5,38.2,1011
5415,1011952200,26.5,51.0,11.1,77.8,43.1,18.6,34.5,1011
6395,1011952500,17.9,47.5,10.1,79.1,60.4,15.0,37.5,1011
8454,1013952700,18.8,47.8,10.8,79.5,53.7,16.2,37.9,1013
11,1013952800,14.5,43.0,9.6,78.2,64.3,12.5,38.8,1013
2607,1013952900,21.0,48.7,11.7,79.4,50.1,17.0,37.2,1013
4684,1013953000,18.4,48.2,10.4,78.6,53.7,16.6,38.9,1013
6794,1013953100,22.6,49.7,12.4,80.4,46.7,17.8,35.2,1013
3929,1013953200,16.8,45.2,10.3,78.6,58.7,14.4,37.6,1013
2160,1013953300,15.1,43.9,9.6,77.1,62.0,13.3,40.3,1013
7470,1013953400,21.9,55.3,11.9,81.7,46.8,21.4,40.8,1013
5138,1013953500,18.0,48.1,10.8,78.2,53.8,16.5,40.6,1013
3416,1015000200,19.8,49.6,11.7,77.3,47.7,17.3,34.7,1015
1562,1015000300,25.3,56.7,13.5,79.2,37.1,23.0,35.5,1015
8070,1015000400,23.2,55.9,12.6,78.4,41.7,22.9,38.2,1015
5783,1015000500,28.3,62.3,14.3,81.3,30.8,28.7,37.4,1015
5078,1015000600,28.0,49.9,13.5,75.2,33.9,18.7,31.0,1015
7696,1015000700,18.2,43.3,11.4,75.1,52.4,13.9,32.9,1015
8621,1015000800,23.1,52.7,11.7,77.0,43.9,19.8,38.1,1015
1857,1015000900,13.8,50.4,9.6,78.8,61.0,16.0,41.3,1015
2322,1015001000,14.0,42.2,9.4,75.1,63.5,12.4,35.9,1015
4940,1015001100,15.7,38.7,9.5,72.5,61.0,11.2,33.8,1015
7035,1015001201,22.8,49.8,11.6,75.7,45.2,18.1,37.6,1015
264,1015001202,20.4,42.4,10.6,72.4,52.5,13.6,35.6,1015
2057,1015001300,21.9,46.8,11.4,72.1,44.4,16.2,38.7,1015
8534,1015001400,19.6,44.6,10.6,72.7,51.3,14.5,36.0,1015
5397,1015001500,18.0,43.0,10.4,72.2,53.3,13.5,36.3,1015
2722,1015001600,19.8,42.5,10.7,71.9,50.8,13.2,34.9,1015
1454,1015001700,16.1,44.1,9.9,75.0,58.7,13.5,36.5,1015
8216,1015001800,16.1,39.5,10.1,72.1,58.7,11.6,34.2,1015
6249,1015002000,14.1,37.6,9.4,71.2,62.6,10.4,33.9,1015
3613,1015002101,19.7,24.6,12.9,71.1,48.2,5.2,16.1,1015
2849,1015002102,11.4,39.7,9.4,74.8,65.4,11.4,34.6,1015
5196,1015002103,16.4,40.1,10.9,73.1,54.5,12.5,32.5,1015
7011,1015002200,16.6,44.2,10.1,73.2,55.6,13.7,38.1,1015
8808,1015002300,18.5,47.5,11.2,74.2,48.2,16.5,37.9,1015
95,1015002400,15.2,39.7,9.7,71.5,58.9,11.6,35.3,1015
2410,1015002501,13.3,37.4,9.3,71.9,64.8,10.2,34.0,1015
5335,1015002502,14.9,40.0,9.6,71.7,60.4,11.5,36.1,1015
7137,1015002600,17.4,42.4,10.3,71.6,54.2,13.2,36.9,1015
3945,1017953800,18.8,49.9,10.8,77.2,54.7,17.0,39.9,1017
1800,1017953900,17.8,49.2,11.0,79.1,58.1,16.3,37.4,1017
8005,1017954000,19.7,50.7,11.0,79.1,55.2,17.2,37.1,1017
5507,1017954200,17.0,44.4,10.3,75.6,59.1,13.7,36.8,1017
3329,1017954300,16.8,44.4,10.4,76.5,59.4,13.9,34.9,1017
1207,1017954400,20.8,57.4,11.7,82.0,50.8,22.4,38.4,1017
8535,1017954500,20.8,48.7,11.0,78.0,54.2,16.1,37.0,1017
5995,1017954600,18.2,46.4,10.4,76.6,57.2,14.6,38.5,1017
5001,1017954700,17.1,41.8,10.3,75.0,60.4,12.3,34.5,1017
7372,1019955701,16.7,45.2,10.1,76.7,55.0,14.8,39.8,1019
340,1019955702,18.6,45.4,10.7,75.5,49.5,15.4,40.1,1019
2095,1019955800,15.4,40.0,9.6,74.7,58.7,12.1,36.9,1019
2252,1019955900,18.2,44.0,10.5,75.3,51.7,14.5,38.5,1019
4609,1019956000,16.2,47.0,9.8,78.1,56.9,15.2,41.3,1019
7503,1019956100,16.3,42.3,9.8,75.2,55.8,13.3,37.9,1019
488,1021060101,19.0,40.5,9.9,74.5,56.6,12.5,32.5,1021
1820,1021060102,20.0,44.1,10.4,75.0,51.2,14.4,35.8,1021
8585,1021060200,15.4,38.6,9.4,73.2,61.2,10.9,34.7,1021
6033,1021060300,18.7,41.0,9.9,73.1,53.6,12.9,34.9,1021
3390,1021060401,17.9,38.7,9.8,73.0,57.2,11.6,33.1,1021
1248,1021060402,20.9,40.3,10.2,72.8,51.7,12.7,33.7,1021
8020,1021060500,19.0,44.9,10.6,75.3,51.4,14.8,35.0,1021
6522,1021060600,17.9,38.7,9.7,72.6,56.3,11.5,33.3,1021
3935,1021060700,18.9,39.6,10.0,73.1,55.9,12.0,33.6,1021
3798,1023956700,21.2,55.6,11.9,82.2,48.0,21.2,37.4,1023
5566,1023956800,17.8,49.8,10.4,79.4,55.6,16.9,39.2,1023
8408,1023956900,17.0,45.5,10.2,76.9,56.7,14.6,38.5,1023
2026,1023957000,20.2,51.8,11.3,79.7,49.6,18.5,38.1,1023
2060,1025957500,19.3,49.0,10.7,75.5,53.7,16.1,39.0,1025
3912,1025957601,17.6,46.7,10.1,75.5,58.2,14.6,37.6,1025
5693,1025957602,17.8,46.3,10.4,76.6,59.4,14.2,35.6,1025
8026,1025957700,20.5,54.9,11.2,78.5,49.7,19.7,39.9,1025
2663,1025957800,20.3,49.2,11.0,76.9,53.9,16.2,36.1,1025
75,1025957901,19.2,50.0,10.8,76.4,53.0,16.7,38.2,1025
7390,1025957902,18.4,49.0,10.6,77.4,56.7,15.7,36.4,1025
5374,1025958001,20.2,50.7,11.0,76.7,52.0,17.1,36.6,1025
