,NAME,median_household_income,health_insurance_total,total_population,state,county,geoid
0,"Autauga County, Alabama",72481,58355,59947,1,1,1001
1,"Baldwin County, Alabama",78775,243859,246989,1,3,1003
2,"Barbour County, Alabama",46042,21581,24643,1,5,1005
3,"Bibb County, Alabama",52541,20552,22130,1,7,1007
4,"Blount County, Alabama",64190,59093,59518,1,9,1009
5,"Bullock County, Alabama",31310,8769,10058,1,11,1011
6,"Butler County, Alabama",44755,18380,18630,1,13,1013
7,"Calhoun County, Alabama",55029,114485,116090,1,15,1015
8,"Chambers County, Alabama",49656,33666,34192,1,17,1017
9,"Cherokee County, Alabama",53863,25193,25443,1,19,1019
10,"Chilton County, Alabama",65603,45696,45992,1,21,1021
11,"Choctaw County, Alabama",47813,12267,12380,1,23,1023
12,"Clarke County, Alabama",49249,22234,22543,1,25,1025
13,"Clay County, Alabama",55250,13951,14192,1,27,1027
14,"Cleburne County, Alabama",55345,15204,15426,1,29,1029
15,"Coffee County, Alabama",68353,52676,54920,1,31,1031
16,"Colbert County, Alabama",60628,57670,58022,1,33,1033
17,"Conecuh County, Alabama",41327,11184,11275,1,35,1035
18,"Coosa County, Alabama",57355,9971,10300,1,37,1037
19,"Covington County, Alabama",52456,37128,37628,1,39,1039
20,"Crenshaw County, Alabama",48560,12934,13122,1,41,1041
21,"Cullman County, Alabama",62656,89754,90566,1,43,1043
22,"Dale County, Alabama",54963,47185,49599,1,45,1045
23,"Dallas County, Alabama",35627,36567,36858,1,47,1047
24,"DeKalb County, Alabama",51204,71520,72269,1,49,1049
25,"Elmore County, Alabama",78243,84814,89526,1,51,1051
26,"Escambia County, Alabama",48225,34155,36629,1,53,1053
27,"Etowah County, Alabama",54563,101952,103105,1,55,1055
28,"Fayette County, Alabama",49488,15867,16053,1,57,1057
29,"Franklin County, Alabama",53338,31655,31966,1,59,1059
30,"Geneva County, Alabama",52771,26560,26887,1,61,1061
31,"Greene County, Alabama",29200,7347,7424,1,63,1063
32,"Hale County, Alabama",39250,14629,14829,1,65,1065
33,"Henry County, Alabama",59931,17452,17647,1,67,1067
34,"Houston County, Alabama",58626,107023,108140,1,69,1069
35,"Jackson County, Alabama",51908,52544,53053,1,71,1071
