geoid_tract,geoid,hpsa_designated,hpsa_need_category,hpsa_need_category_label
1001020100,1001,1.0,1,hpsa_designated_high_need
1001020200,1001,1.0,1,hpsa_designated_high_need
1001020300,1001,1.0,1,hpsa_designated_high_need
1001020400,1001,1.0,1,hpsa_designated_high_need
1001020500,1001,1.0,1,hpsa_designated_high_need
1001020600,1001,1.0,1,hpsa_designated_high_need
1001020700,1001,1.0,1,hpsa_designated_high_need
1001020801,1001,1.0,1,hpsa_designated_high_need
1001020802,1001,1.0,1,hpsa_designated_high_need
1001020900,1001,1.0,1,hpsa_designated_high_need
1001021000,1001,1.0,1,hpsa_designated_high_need
1001021100,1001,1.0,1,hpsa_designated_high_need
1003010100,1003,0.0,3,non_hpsa_high_need
1003010200,1003,0.0,3,non_hpsa_high_need
1003010300,1003,0.0,3,non_hpsa_high_need
1003010400,1003,0.0,3,non_hpsa_high_need
1003010500,1003,0.0,3,non_hpsa_high_need
1003010600,1003,0.0,3,non_hpsa_high_need
1003010701,1003,0.0,3,non_hpsa_high_need
1003010703,1003,0.0,3,non_hpsa_high_need
1003010704,1003,0.0,3,non_hpsa_high_need
1003010705,1003,0.0,3,non_hpsa_high_need
1003010800,1003,0.0,3,non_hpsa_high_need
1003010903,1003,0.0,3,non_hpsa_high_need
1003010904,1003,0.0,3,non_hpsa_high_need
1003010905,1003,0.0,3,non_hpsa_high_need
1003010906,1003,0.0,3,non_hpsa_high_need
1003011000,1003,0.0,3,non_hpsa_high_need
1003011101,1003,0.0,3,non_hpsa_high_need
1003011102,1003,0.0,3,non_hpsa_high_need
1003011201,1003,0.0,3,non_hpsa_high_need
1003011202,1003,0.0,3,non_hpsa_high_need
1003011300,1003,0.0,3,non_hpsa_high_need
1003011401,1003,0.0,3,non_hpsa_high_need
1003011403,1003,0.0,3,non_hpsa_high_need
1003011405,1003,0.0,3,non_hpsa_high_need
1003011406,1003,0.0,3,non_hpsa_high_need
1003011407,1003,0.0,3,non_hpsa_high_need
1003011408,1003,0.0,3,non_hpsa_high_need
1003011501,1003,0.0,3,non_hpsa_high_need
1003011502,1003,0.0,3,non_hpsa_high_need
1003011601,1003,0.0,3,non_hpsa_high_need
1003011602,1003,0.0,3,non_hpsa_high_need
1005950100,1005,1.0,1,hpsa_designated_high_need
1005950200,1005,1.0,1,hpsa_designated_high_need
1005950300,1005,1.0,1,hpsa_designated_high_need
1005950400,1005,1.0,1,hpsa_designated_high_need
1005950500,1005,1.0,1,hpsa_designated_high_need
1005950600,1005,1.0,1,hpsa_designated_high_need
1005950700,1005,1.0,1,hpsa_designated_high_need
1005950800,1005,1.0,1,hpsa_designated_high_need
1005950900,1005,1.0,1,hpsa_designated_high_need
1007010001,1007,1.0,1,hpsa_designated_high_need
1007010002,1007,1.0,1,hpsa_designated_high_need
1007010003,1007,1.0,1,hpsa_designated_high_need
1007010004,1007,1.0,1,hpsa_designated_high_need
1009050101,1009,1.0,0,hpsa_designated_low_need
1009050102,1009,1.0,0,hpsa_designated_low_need
1009050200,1009,1.0,0,hpsa_designated_low_need
1009050300,1009,1.0,0,hpsa_designated_low_need
1009050400,1009,1.0,0,hpsa_designated_low_need
1009050500,1009,1.0,0,hpsa_designated_low_need
1009050601,1009,1.0,0,hpsa_designated_low_need
1009050602,1009,1.0,0,hpsa_designated_low_need
1009050700,1009,1.0,0,hpsa_designated_low_need
1011952100,1011,1.0,1,hpsa_designated_high_need
1011952200,1011,1.0,1,hpsa_designated_high_need
1011952500,1011,1.0,1,hpsa_designated_high_need
1013952700,1013,1.0,1,hpsa_designated_high_need
1013952800,1013,1.0,1,hpsa_designated_high_need
1013952900,1013,1.0,1,hpsa_designated_high_need
1013953000,1013,1.0,1,hpsa_designated_high_need
1013953100,1013,1.0,1,hpsa_designated_high_need
1013953200,1013,1.0,1,hpsa_designated_high_need
1013953300,1013,1.0,1,hpsa_designated_high_need
1013953400,1013,1.0,1,hpsa_designated_high_need
1013953500,1013,1.0,1,hpsa_designated_high_need
1015000200,1015,1.0,1,hpsa_designated_high_need
1015000300,1015,1.0,1,hpsa_designated_high_need
1015000400,1015,1.0,1,hpsa_designated_high_need
1015000500,1015,1.0,1,hpsa_designated_high_need
1015000600,1015,1.0,1,hpsa_designated_high_need
1015000700,1015,1.0,1,hpsa_designated_high_need
1015000800,1015,1.0,1,hpsa_designated_high_need
1015000900,1015,1.0,1,hpsa_designated_high_need
1015001000,1015,1.0,1,hpsa_designated_high_need
1015001100,1015,1.0,1,hpsa_designated_high_need
1015001201,1015,1.0,1,hpsa_designated_high_need
1015001202,1015,1.0,1,hpsa_designated_high_need
1015001300,1015,1.0,1,hpsa_designated_high_need
1015001400,1015,1.0,1,hpsa_designated_high_need
1015001500,1015,1.0,1,hpsa_designated_high_need
1015001600,1015,1.0,1,hpsa_designated_high_need
1015001700,1015,1.0,1,hpsa_designated_high_need
1015001800,1015,1.0,1,hpsa_designated_high_need
1015002000,1015,1.0,1,hpsa_designated_high_need
1015002101,1015,1.0,1,hpsa_designated_high_need
1015002102,1015,1.0,1,hpsa_designated_high_need
1015002103,1015,1.0,1,hpsa_designated_high_need
1015002200,1015,1.0,1,hpsa_designated_high_need
1015002300,1015,1.0,1,hpsa_designated_high_need
1015002400,1015,1.0,1,hpsa_designated_high_need
1015002501,1015,1.0,1,hpsa_designated_high_need
1015002502,1015,1.0,1,hpsa_designated_high_need
1015002600,1015,1.0,1,hpsa_designated_high_need
1017953800,1017,1.0,1,hpsa_designated_high_need
1017953900,1017,1.0,1,hpsa_designated_high_need
1017954000,1017,1.0,1,hpsa_designated_high_need
1017954200,1017,1.0,1,hpsa_designated_high_need
1017954300,1017,1.0,1,hpsa_designated_high_need
1017954400,1017,1.0,1,hpsa_designated_high_need
1017954500,1017,1.0,1,hpsa_designated_high_need
1017954600,1017,1.0,1,hpsa_designated_high_need
1017954700,1017,1.0,1,hpsa_designated_high_need
1019955701,1019,1.0,1,hpsa_designated_high_need
1019955702,1019,1.0,1,hpsa_designated_high_need
1019955800,1019,1.0,1,hpsa_designated_high_need
1019955900,1019,1.0,1,hpsa_designated_high_need
