,geoid,county,state,median_rent,median_rent_moe,employee1_mean,employee1_sd,total_population,total_population_poverty,poverty_rate_pct,roi_2%_adopt,roi_1%_adopt
0,1001,Autauga County,Alabama,1125.7857142857142,268.85714285714283,156000.0,660.0,59759.0,6988.0,11.8,115.4029152897589,46.87329017428446
1,1003,Baldwin County,Alabama,1313.0238095238096,267.14285714285717,156000.0,660.0,246435.0,30195.0,12.4,166.8999681146665,129.73404594161536
2,1005,Barbour County,Alabama,733.2222222222222,142.55555555555554,156000.0,660.0,24706.0,5860.0,26.7,22.62597406894725,-15.664469342395723
3,1007,Bibb County,Alabama,887.875,362.625,156000.0,660.0,22005.0,3979.0,20.0,8.802221698020888,-25.278972932515924
4,1009,Blount County,Alabama,825.75,142.125,156000.0,660.0,59512.0,8022.0,13.6,115.67886637401865,47.352826478544266
5,1011,Bullock County,Alabama,552.75,267.5,156000.0,660.0,10202.0,2670.0,31.5,-29.91788146193323,-64.95894073096662
6,1013,Butler County,Alabama,781.875,148.0,156000.0,660.0,18650.0,4298.0,23.4,27.11485349558747,-36.44257325220626
7,1015,Calhoun County,Alabama,829.8285714285714,168.94285714285715,156000.0,660.0,115788.0,20308.0,18.5,151.74543680931208,109.79952827746729
8,1017,Chambers County,Alabama,828.5555555555555,191.88888888888889,156000.0,660.0,34088.0,6962.0,21.0,68.79332731794273,15.98415194773771
9,1019,Cherokee County,Alabama,848.875,247.0,156000.0,660.0,25302.0,3862.0,15.5,25.224750554981014,-13.969622570138544
10,1021,Chilton County,Alabama,835.9090909090909,246.54545454545453,156000.0,660.0,45884.0,7158.0,15.8,66.25869835544465,13.58107297167547
11,1023,Choctaw County,Alabama,548.3333333333334,195.33333333333334,156000.0,660.0,12439.0,2554.0,20.7,-14.537959464101682,-57.26897973205084
12,1025,Clarke County,Alabama,786.1428571428571,276.14285714285717,156000.0,660.0,22515.0,5204.0,23.5,11.604571676753565,-23.282178924686512
13,1027,Clay County,Alabama,571.0,182.66666666666666,156000.0,660.0,14198.0,2371.0,17.0,-2.528661983111755,-51.26433099155587
14,1029,Cleburne County,Alabama,817.25,212.25,156000.0,660.0,15346.0,2370.0,15.7,4.469474991986884,-47.76526250400656
15,1031,Coffee County,Alabama,1010.6875,225.9375,156000.0,660.0,54805.0,8492.0,15.7,97.95672574952228,35.0796647758403
16,1033,Colbert County,Alabama,834.4666666666667,207.53333333333333,156000.0,660.0,58033.0,9962.0,17.3,110.28557210445011,43.659789220750525
17,1035,Conecuh County,Alabama,803.8,124.6,156000.0,660.0,11206.0,3329.0,30.1,-23.679060665362034,-61.839530332681015
18,1037,Coosa County,Alabama,668.3333333333334,308.3333333333333,156000.0,660.0,10166.0,1813.0,18.1,-30.44132740335272,-65.22066370167636
19,1039,Covington County,Alabama,739.4285714285714,117.21428571428571,156000.0,660.0,37602.0,7071.0,19.2,86.60535043948943,28.329674008610127
20,1041,Crenshaw County,Alabama,684.0,180.33333333333334,156000.0,660.0,13025.0,2762.0,21.5,-10.926974936457823,-55.46348746822891
21,1043,Cullman County,Alabama,911.7727272727273,202.86363636363637,156000.0,660.0,90665.0,14478.0,16.2,123.67060907067528,64.03490520806693
22,1045,Dale County,Alabama,836.5714285714286,148.28571428571428,156000.0,660.0,49544.0,9965.0,20.5,79.51839658777978,22.63901183809288
23,1047,Dallas County,Alabama,827.6470588235294,237.64705882352942,156000.0,660.0,36767.0,11945.0,32.9,82.06300928948885,25.10329551557689
24,1049,DeKalb County,Alabama,713.3333333333334,275.6190476190476,156000.0,660.0,71998.0,13248.0,18.7,117.93360912117849,78.76598386095593
25,1051,Elmore County,Alabama,1018.2105263157895,227.3684210526316,156000.0,660.0,89563.0,9779.0,11.7,120.66226459419289,61.7296751715001
26,1053,Escambia County,Alabama,771.3,226.8,156000.0,660.0,36666.0,7224.0,20.9,81.8165289105934,24.999289763849323
27,1055,Etowah County,Alabama,880.0322580645161,208.2258064516129,156000.0,660.0,103088.0,17990.0,17.7,124.01093139279928,86.61828349122688
28,1057,Fayette County,Alabama,731.8,152.8,156000.0,660.0,16118.0,3092.0,19.5,10.045015725918407,-44.9774921370408
29,1059,Franklin County,Alabama,673.4444444444445,126.33333333333333,156000.0,660.0,31932.0,5804.0,18.5,58.727037744811064,9.22482859271197
30,1061,Geneva County,Alabama,762.0,215.33333333333334,156000.0,660.0,26783.0,4926.0,18.6,32.840102173248134,-8.664218890316127
31,1063,Greene County,Alabama,464.5,206.0,156000.0,660.0,7422.0,2206.0,30.0,-48.85993672376075,-74.42996836188037
32,1065,Hale County,Alabama,760.3333333333334,197.0,156000.0,660.0,14595.0,3294.0,22.9,-0.45017393083690105,-50.225086965418456
33,1067,Henry County,Alabama,775.5,291.5,156000.0,660.0,17655.0,2754.0,15.8,20.359271231600413,-39.82036438419979
34,1069,Houston County,Alabama,952.1153846153846,101.61538461538461,156000.0,660.0,108079.0,18465.0,17.2,134.67261641716365,95.39842084951482
35,1071,Jackson County,Alabama,783.4375,229.4375,156000.0,660.0,52891.0,8434.0,16.1,91.8306235442794,31.09645170701732
36,1073,Jefferson County,Alabama,1187.5170454545455,231.85795454545453,156000.0,660.0,665409.0,106000.0,16.4,193.4403364732204,181.79075685992225
37,1075,Lamar County,Alabama,577.0,135.5,156000.0,660.0,13705.0,2457.0,18.1,-5.932552393154558,-52.966276196577276
38,1077,Lauderdale County,Alabama,835.12,115.64,156000.0,660.0,95878.0,12156.0,13.3,136.75493772418483,73.70738572540473
39,1079,Lawrence County,Alabama,803.8181818181819,201.0909090909091,156000.0,660.0,33214.0,5402.0,16.4,64.56633742749018,13.105573333360857
40,1081,Lee County,Alabama,1077.0444444444445,255.17777777777778,156000.0,660.0,180773.0,26211.0,15.0,151.36679478935457,122.52989392689335
41,1083,Limestone County,Alabama,1091.909090909091,320.59090909090907,156000.0,660.0,110900.0,10669.0,9.9,140.43297250101665,99.99311442675143
42,1085,Lowndes County,Alabama,749.25,257.25,156000.0,660.0,9777.0,2814.0,29.4,-33.287654485956594,-66.6438272429783
43,1087,Macon County,Alabama,764.0,168.83333333333334,156000.0,660.0,18516.0,5351.0,32.4,26.278459142730487,-36.86077042863476
44,1089,Madison County,Alabama,1313.0224719101125,251.38202247191012,156000.0,660.0,403565.0,44142.0,11.3,180.39169902890643,154.0279834295036
45,1091,Marengo County,Alabama,725.1428571428571,172.0,156000.0,660.0,18745.0,3603.0,19.5,28.009846786217757,-35.995076606891125
46,1093,Marion County,Alabama,656.3,258.9,156000.0,660.0,29156.0,5004.0,17.6,44.98992572971118,-0.21208411719273187
47,1095,Marshall County,Alabama,812.4230769230769,195.19230769230768,156000.0,660.0,99423.0,16175.0,16.5,145.57755023616474,80.2041571771851
48,1097,Mobile County,Alabama,1044.626984126984,248.03968253968253,156000.0,660.0,411411.0,77450.0,19.2,186.10976293849922,159.40497543378999
49,1099,Monroe County,Alabama,717.375,295.625,156000.0,660.0,19404.0,3963.0,20.7,32.54532181011161,-33.72733909494419
50,1101,Montgomery County,Alabama,1144.2121212121212,186.53030303030303,156000.0,660.0,226361.0,39991.0,18.4,166.78170199065397,145.23809054807907
51,1103,Morgan County,Alabama,942.6206896551724,272.0689655172414,156000.0,660.0,124211.0,15935.0,13.1,132.3888270386199,87.33950288541153
52,1105,Perry County,Alabama,536.5,168.5,156000.0,660.0,8035.0,2714.0,35.9,-44.77315294778021,-72.3865764738901
53,1107,Pickens County,Alabama,661.0,188.4,156000.0,660.0,18697.0,4007.0,23.9,27.96231236026828,-36.01884381986586
54,1109,Pike County,Alabama,876.4545454545455,198.1818181818182,156000.0,660.0,33014.0,8436.0,27.4,63.281571994023054,12.147102602479984
55,1111,Randolph County,Alabama,707.5,223.0,156000.0,660.0,22479.0,4435.0,20.3,11.643730728638536,-23.19904336189961
56,1113,Russell County,Alabama,1090.6666666666667,309.44444444444446,156000.0,660.0,58555.0,12882.0,22.3,111.19673944407043,44.0384725763999
57,1115,St. Clair County,Alabama,1074.047619047619,419.6666666666667,156000.0,660.0,93932.0,11548.0,12.6,131.26738105845664,69.4482074365505
58,1117,Shelby County,Alabama,1423.7755102040817,266.3673469387755,156000.0,660.0,230115.0,15339.0,6.8,170.75998828973968,148.55234221213453
59,1119,Sumter County,Alabama,849.2,310.8,156000.0,660.0,11853.0,3377.0,31.1,-19.397138925975206,-59.69856946298761
60,1121,Talladega County,Alabama,826.6818181818181,242.9090909090909,156000.0,660.0,80704.0,14318.0,18.3,99.30600704095838,46.23818164296888
61,1123,Tallapoosa County,Alabama,837.4166666666666,237.41666666666666,156000.0,660.0,40977.0,7107.0,17.6,48.47433983172522,1.4305192568313223
62,1125,Tuscaloosa County,Alabama,1070.0,207.0566037735849,156000.0,660.0,236780.0,36853.0,17.0,179.18328846267224,156.73238520339018
63,1127,Walker County,Alabama,750.4,237.95,156000.0,660.0,64339.0,10557.0,16.7,94.64108521503425,59.60233577704608
64,1129,Washington County,Alabama,603.75,278.5,156000.0,660.0,15122.0,2493.0,16.7,3.6981584925068214,-48.15092075374659
65,1131,Wilcox County,Alabama,783.8,267.8,156000.0,660.0,10059.0,2965.0,29.7,-31.44426623532993,-65.72213311766497
66,1133,Winston County,Alabama,839.4285714285714,134.28571428571428,156000.0,660.0,23755.0,4284.0,18.3,17.595821895446033,-19.203690176750776
67,2013,Aleutians East Borough,Alaska,979.0,90.0,132000.0,660.0,3398.0,549.0,16.2,-75.32376364648641,-87.6618818232432
68,2016,Aleutians West Census Area,Alaska,1495.0,226.0,132000.0,660.0,5122.0,473.0,9.7,-63.48817868599264,-81.74408934299632
69,2020,Anchorage Municipality,Alaska,1624.0677966101696,286.22033898305085,132000.0,660.0,287145.0,29127.0,10.4,175.07726704806996,146.3057050738098
70,2050,Bethel Census Area,Alaska,1192.6666666666667,121.0,132000.0,660.0,18257.0,3910.0,21.9,31.561437853548398,-34.2192810732258
71,2060,Bristol Bay Borough,Alaska,1317.0,95.0,132000.0,660.0,865.0,117.0,13.6,-93.79453823712277,-96.89726911856138
72,2063,Chugach Census Area,Alaska,1319.5,184.0,132000.0,660.0,,,,,
73,2066,Copper River Census Area,Alaska,1089.0,164.0,132000.0,660.0,,,,,
74,2068,Denali Borough,Alaska,825.0,147.0,132000.0,660.0,1585.0,116.0,7.3,-88.42502434274586,-94.21251217137294
75,2070,Dillingham Census Area,Alaska,1048.0,138.5,132000.0,660.0,4723.0,924.0,19.7,-65.7873450120127,-82.89367250600635
76,2090,Fairbanks North Star Borough,Alaska,1433.7619047619048,193.23809523809524,132000.0,660.0,95356.0,7117.0,7.8,139.61173459436625,77.26218918993087
77,2100,Haines Borough,Alaska,1087.0,162.0,132000.0,660.0,2056.0,210.0,10.3,-85.12767342608444,-92.56383671304222
78,2105,Hoonah-Angoon Census Area,Alaska,1014.0,415.0,132000.0,660.0,2287.0,399.0,17.5,-83.4129123502605,-91.70645617513024
79,2110,Juneau City and Borough,Alaska,1466.1666666666667,188.66666666666666,132000.0,660.0,31685.0,2455.0,7.9,62.371299115588464,13.048338853639551
80,2122,Kenai Peninsula Borough,Alaska,1137.642857142857,203.92857142857142,132000.0,660.0,60690.0,6512.0,11.0,88.19292399390008,56.82450345182731
81,2130,Ketchikan Gateway Borough,Alaska,1751.6,208.6,132000.0,660.0,13741.0,1164.0,8.6,-2.9359617046425823,-51.46798085232129
82,2150,Kodiak Island Borough,Alaska,1607.2,299.6,132000.0,660.0,12720.0,921.0,7.5,-9.687527364726542,-54.84376368236327
83,2158,Kusilvak Census Area,Alaska,833.0,68.0,132000.0,660.0,8278.0,2454.0,29.8,-39.56487880852721,-69.78243940426361
84,2164,Lake and Peninsula Borough,Alaska,936.0,188.0,132000.0,660.0,1381.0,276.0,20.1,-89.95551137672287,-94.97775568836143
85,2170,Matanuska-Susitna Borough,Alaska,1323.4782608695652,212.3913043478261,132000.0,660.0,113325.0,10866.0,9.8,150.49233211254725,111.09846766878321
86,2180,Nome Census Area,Alaska,1343.0,91.5,132000.0,660.0,9835.0,1909.0,19.9,-29.50999832763934,-64.75499916381968
87,2185,North Slope Borough,Alaska,1213.5,147.5,132000.0,660.0,10805.0,1474.0,13.7,-22.19668648852992,-61.09834324426496
88,2188,Northwest Arctic Borough,Alaska,1239.5,149.5,132000.0,660.0,7423.0,1447.0,19.7,-46.59936333607103,-73.2996816680355
89,2195,Petersburg Borough,Alaska,950.0,151.0,132000.0,660.0,3360.0,230.0,7.1,-75.57399890955352,-87.78699945477676
90,2198,Prince of Wales-Hyder Census Area,Alaska,948.6666666666666,92.33333333333333,132000.0,660.0,5650.0,820.0,14.6,-58.92452532987604,-79.46226266493802
91,2220,Sitka City and Borough,Alaska,1377.5,225.0,132000.0,660.0,8382.0,651.0,7.9,-39.99821039759,-69.999105198795
92,2230,Skagway Municipality,Alaska,1280.0,119.0,132000.0,660.0,1081.0,100.0,9.3,-92.23466028135289,-96.11733014067644
93,2240,Southeast Fairbanks Census Area,Alaska,1326.0,223.5,132000.0,660.0,7021.0,865.0,12.5,-49.6479925415058,-74.8239962707529
94,2275,Wrangell City and Borough,Alaska,993.0,96.0,132000.0,660.0,2070.0,246.0,12.0,-84.9753217845737,-92.48766089228685
95,2282,Yakutat City and Borough,Alaska,1330.0,66.0,132000.0,660.0,700.0,82.0,11.7,-94.98057962354348,-97.49028981177173
96,2290,Yukon-Koyukuk Census Area,Alaska,1016.0,232.0,132000.0,660.0,5179.0,1084.0,21.1,-62.440622242635946,-81.22031112131798
97,4001,Apache County,Arizona,679.8,210.66666666666666,132000.0,660.0,65432.0,18155.0,28.2,104.34792113654323,71.10222411274324
98,4003,Cochise County,Arizona,979.0294117647059,234.58823529411765,132000.0,660.0,125663.0,21447.0,17.7,139.5047723437725,95.31379498401623
99,4005,Coconino County,Arizona,1375.7941176470588,288.94117647058823,132000.0,660.0,144060.0,22092.0,16.4,147.66947940196079,122.5353098135998
100,4007,Gila County,Arizona,1001.7142857142857,270.7142857142857,132000.0,660.0,53922.0,9832.0,18.5,102.09995395307496,39.826951549150365
101,4009,Graham County,Arizona,1066.111111111111,348.22222222222223,132000.0,660.0,38779.0,5434.0,14.8,100.78297137926076,40.362356726322155
102,4011,Greenlee County,Arizona,643.5,57.5,132000.0,660.0,9302.0,851.0,9.2,-31.615930797458812,-65.80796539872941
103,4012,La Paz County,Arizona,813.5714285714286,193.85714285714286,132000.0,660.0,16506.0,3258.0,20.0,20.590731978847746,-39.70463401057613
104,4013,Maricopa County,Arizona,1834.969957081545,294.77682403433477,132000.0,660.0,4551524.0,487571.0,10.9,208.0966092819256,206.68512022773533
105,4015,Mohave County,Arizona,1187.8833333333334,285.3666666666667,132000.0,660.0,220816.0,36075.0,16.7,163.2817436143949,144.41089859324492
106,4017,Navajo County,Arizona,913.1612903225806,304.19354838709677,132000.0,660.0,108650.0,27684.0,25.9,141.2527969119871,103.94885035616798
107,4019,Pima County,Arizona,1375.1129032258063,238.10887096774192,132000.0,660.0,1057597.0,150271.0,14.6,202.73562910791222,191.09634101064938
108,4021,Pinal County,Arizona,1546.7411764705882,301.91764705882355,132000.0,660.0,464154.0,50448.0,11.4,187.49970137958323,176.1176646432299
109,4023,Santa Cruz County,Arizona,1006.0,164.23076923076923,132000.0,660.0,48759.0,9009.0,18.5,82.7343252257992,26.424552518085097
110,4025,Yavapai County,Arizona,1486.1617647058824,407.4264705882353,132000.0,660.0,246191.0,32990.0,13.6,169.29985125305384,133.48292497695414
111,4027,Yuma County,Arizona,1084.701754385965,296.0701754385965,132000.0,660.0,207842.0,29448.0,14.6,165.3787119885739,130.31361899338884
112,5001,Arkansas County,Arkansas,823.1428571428571,140.14285714285714,156000.0,660.0,16512.0,3049.0,18.8,12.38459780806734,-43.80770109596633
113,5003,Ashley County,Arkansas,705.0,223.42857142857142,156000.0,660.0,18354.0,3956.0,21.8,25.425968109339408,-37.287015945330296
114,5005,Baxter County,Arkansas,804.9,169.9,156000.0,660.0,42435.0,5753.0,13.8,53.84782715096013,5.124124997832364
115,5007,Benton County,Arkansas,1279.9454545454546,302.76363636363635,156000.0,660.0,302863.0,23586.0,7.9,173.55197995310976,156.1499306911088
116,5009,Boone County,Arkansas,669.8571428571429,209.71428571428572,156000.0,660.0,38284.0,5044.0,13.3,90.31841886603965,30.968198064059994
117,5011,Bradley County,Arkansas,653.8,144.6,156000.0,660.0,10135.0,2189.0,21.9,-30.618941565198345,-65.30947078259916
118,5013,Calhoun County,Arkansas,803.5,271.5,156000.0,660.0,4695.0,720.0,15.9,-68.02333830899421,-84.0116691544971
119,5015,Carroll County,Arkansas,838.375,209.0,156000.0,660.0,28742.0,4553.0,16.0,42.286981964746325,-2.2382337893512054
120,5017,Chicot County,Arkansas,640.6666666666666,209.0,156000.0,660.0,9873.0,2468.0,27.0,-32.382115584371114,-66.19105779218556
