,geoid,uninsured_rate,uninsured_count,total_population
0,1001,0.0819999999999999,4053.0,49485.0
1,1003,0.102,19478.0,190730.0
2,1005,0.121,2025.0,16712.0
3,1007,0.108,1758.0,16224.0
4,1009,0.125,6024.0,48132.0
5,1011,0.114,753.0,6600.0
6,1013,0.104,1479.0,14248.0
7,1015,0.118,10537.0,89045.0
8,1017,0.127,3324.0,26095.0
9,1019,0.133,2522.0,19028.0
10,1021,0.132,4945.0,37514.0
11,1023,0.1119999999999999,1029.0,9218.0
12,1025,0.115,1985.0,17289.0
13,1027,0.106,1167.0,11055.0
14,1029,0.124,1525.0,12311.0
15,1031,0.115,5173.0,44912.0
16,1033,0.107,4901.0,45852.0
17,1035,0.106,864.0,8169.0
18,1037,0.095,698.0,7352.0
19,1039,0.11,3184.0,28855.0
20,1041,0.131,1357.0,10327.0
21,1043,0.1159999999999999,8511.0,73069.0
22,1045,0.105,4184.0,39881.0
23,1047,0.0969999999999999,2732.0,28059.0
24,1049,0.152,8907.0,58604.0
25,1051,0.09,6209.0,69032.0
26,1053,0.124,3407.0,27439.0
27,1055,0.113,9166.0,81457.0
28,1057,0.1159999999999999,1436.0,12427.0
29,1059,0.1369999999999999,3574.0,26088.0
30,1061,0.121,2544.0,21010.0
31,1063,0.093,494.0,5327.0
32,1065,0.114,1282.0,11249.0
33,1067,0.113,1509.0,13379.0
34,1069,0.1169999999999999,10158.0,86703.0
35,1071,0.13,5438.0,41851.0
36,1073,0.096,50628.0,527338.0
37,1075,0.111,1170.0,10574.0
38,1077,0.106,7720.0,72531.0
39,1079,0.122,3249.0,26683.0
40,1081,0.1,15090.0,150207.0
41,1083,0.092,8366.0,90622.0
42,1085,0.091,670.0,7362.0
43,1087,0.096,1170.0,12168.0
44,1089,0.081,26523.0,328874.0
45,1091,0.102,1483.0,14477.0
46,1093,0.1119999999999999,2532.0,22579.0
47,1095,0.124,10116.0,81466.0
48,1097,0.118,38596.0,328163.0
49,1099,0.115,1699.0,14809.0
50,1101,0.113,19833.0,176245.0
51,1103,0.123,12210.0,99629.0
52,1105,0.1009999999999999,581.0,5736.0
53,1107,0.105,1364.0,13035.0
54,1109,0.106,2696.0,25472.0
55,1111,0.127,2180.0,17128.0
56,1113,0.1169999999999999,5676.0,48323.0
57,1115,0.096,7232.0,75499.0
58,1117,0.076,14173.0,187431.0
59,1119,0.094,782.0,8362.0
60,1121,0.105,6547.0,62424.0
61,1123,0.123,3765.0,30668.0
62,1125,0.088,15989.0,181594.0
63,1127,0.123,6304.0,51097.0
64,1129,0.099,1145.0,11590.0
65,1131,0.121,916.0,7548.0
66,1133,0.1169999999999999,2154.0,18432.0
67,2013,0.196,594.0,3033.0
