poverty_rate_pct,total_population_poverty,fips
11.8,6988,01001
12.4,30195,01003
26.7,5860,01005
20.0,3979,01007
13.6,8022,01009
31.5,2670,01011
23.4,4298,01013
18.5,20308,01015
21.0,6962,01017
15.5,3862,01019
15.8,7158,01021
20.7,2554,01023
23.5,5204,01025
17.0,2371,01027
15.7,2370,01029
15.7,8492,01031
17.3,9962,01033
30.1,3329,01035
18.1,1813,01037
19.2,7071,01039
21.5,2762,01041
16.2,14478,01043
20.5,9965,01045
32.9,11945,01047
18.7,13248,01049
11.7,9779,01051
20.9,7224,01053
17.7,17990,01055
19.5,3092,01057
18.5,5804,01059
18.6,4926,01061
30.0,2206,01063
22.9,3294,01065
15.8,2754,01067
17.2,18465,01069
16.1,8434,01071
16.4,106000,01073
18.1,2457,01075
13.3,12156,01077
16.4,5402,01079
15.0,26211,01081
9.9,10669,01083
29.4,2814,01085
32.4,5351,01087
11.3,44142,01089
19.5,3603,01091
17.6,5004,01093
16.5,16175,01095
19.2,77450,01097
20.7,3963,01099
18.4,39991,01101
13.1,15935,01103
35.9,2714,01105
23.9,4007,01107
27.4,8436,01109
20.3,4435,01111
22.3,12882,01113
12.6,11548,01115
6.8,15339,01117
31.1,3377,01119
18.3,14318,01121
17.6,7107,01123
17.0,36853,01125
16.7,10557,01127
16.7,2493,01129
29.7,2965,01131
18.3,4284,01133
16.2,549,02013
9.7,473,02016
10.4,29127,02020
21.9,3910,02050
13.6,117,02060
6.7,448,02063
13.9,359,02066
7.3,116,02068
19.7,924,02070
7.8,7117,02090
10.3,210,02100
17.5,399,02105
7.9,2455,02110
11.0,6512,02122
8.6,1164,02130
7.5,921,02150
29.8,2454,02158
20.1,276,02164
9.8,10866,02170
19.9,1909,02180
13.7,1474,02185
19.7,1447,02188
7.1,230,02195
14.6,820,02198
7.9,651,02220
9.3,100,02230
12.5,865,02240
12.0,246,02275
11.7,82,02282
21.1,1084,02290
28.2,18155,04001
17.7,21447,04003
16.4,22092,04005
18.5,9832,04007
14.8,5434,04009
9.2,851,04011
20.0,3258,04012
10.9,487571,04013
16.7,36075,04015
25.9,27684,04017
14.6,150271,04019
11.4,50448,04021
18.5,9009,04023
13.6,32990,04025
14.6,29448,04027
18.8,3049,05001
21.8,3956,05003
13.8,5753,05005
7.9,23586,05007
13.3,5044,05009
21.9,2189,05011
15.9,720,05013
16.0,4553,05015
27.0,2468,05017
20.3,3762,05019
20.0,2812,05021
13.0,3256,05023
15.1,1114,05025
22.2,4509,05027
18.0,3746,05029
17.1,18689,05031
16.1,9709,05033
21.8,10118,05035
21.9,3589,05037
20.1,1192,05039
27.9,2986,05041
20.8,3387,05043
14.6,17847,05045
16.8,2853,05047
17.2,2099,05049
17.3,17077,05051
13.3,2387,05053
16.3,7401,05055
20.9,4011,05057
17.4,5339,05059
17.9,2214,05061
15.0,5525,05063
22.4,2894,05065
24.7,3515,05067
22.2,13011,05069
18.9,4815,05071
23.7,1429,05073
19.1,2976,05075
35.1,2353,05077
25.2,2265,05079
17.0,1971,05081
18.7,3919,05083
11.5,8529,05085
16.5,2856,05087
15.6,2662,05089
22.9,9380,05091
21.8,8269,05093
24.9,1612,05095
20.0,1692,05097
21.9,1748,05099
19.4,1357,05101
18.1,3906,05103
16.2,1614,05105
34.9,5263,05107
19.1,1895,05109
20.0,4416,05111
17.3,3325,05113
15.3,9379,05115
14.9,1182,05117
17.3,67560,05119
19.9,3674,05121
34.4,6544,05123
9.8,12335,05125
21.2,2042,05127
21.7,1703,05129
17.1,21673,05131
20.6,3203,05133
19.5,3433,05135
20.4,2531,05137
18.9,6993,05139
19.6,3127,05141
14.3,35177,05143
15.9,11907,05145
22.6,1337,05147
16.3,3235,05149
10.1,161918,06001
16.3,193,06003
